,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,10X GENOMICS INC,CL A COM,88025U109,3669000,41085,SH, ,DFND,2020-06-30
1,89BIO INC,COM,282559103,433000,21744,SH, ,DFND,2020-06-30
2,AAON INC,COM PAR $0.004,000360206,502000,9248,SH, ,DFND,2020-06-30
3,ABBVIE INC,COM,00287Y109,24351000,248028,SH, ,DFND,2020-06-30
4,ABEONA THERAPEUTICS INC,COM,00289Y107,3207000,1100000,SH, ,DFND,2020-06-30
5,ABERCROMBIE & FITCH CO,CL A,002896207,1840000,172900,SH, ,DFND,2020-06-30
6,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,10222000,406909,SH, ,DFND,2020-06-30
7,ACADIA PHARMACEUTICALS INC,COM,004225108,9622000,198510,SH, ,DFND,2020-06-30
8,ACCELERON PHARMA INC,COM,00434H108,6040000,63401,SH, ,DFND,2020-06-30
9,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,2719000,12664,SH, ,DFND,2020-06-30
10,ACM RESEARCH INC,COM CL A,00108J109,785000,12582,SH, ,DFND,2020-06-30
11,ACORDA THERAPEUTICS INC,COM,00484M106,1375000,1872182,SH, ,DFND,2020-06-30
12,ACTIVISION BLIZZARD INC,COM,00507V109,22297000,293763,SH, ,DFND,2020-06-30
13,ADIENT PLC,ORD SHS,G0084W101,4002000,243714,SH, ,DFND,2020-06-30
14,ADOBE INC,COM,00724F101,666000,1529,SH, ,DFND,2020-06-30
15,ADT INC DEL,COM,00090Q103,1988000,249064,SH, ,DFND,2020-06-30
16,ADVANCE AUTO PARTS INC,COM,00751Y106,49717000,349012,SH, ,DFND,2020-06-30
17,AERIE PHARMACEUTICALS INC,COM,00771V108,12553000,850504,SH, ,DFND,2020-06-30
18,AES CORP,COM,00130H105,2931000,202310,SH, ,DFND,2020-06-30
19,AFFIMED N V,COM,N01045108,15973000,3461093,SH, ,DFND,2020-06-30
20,AGILENT TECHNOLOGIES INC,COM,00846U101,29837000,337636,SH, ,DFND,2020-06-30
21,AGIOS PHARMACEUTICALS INC,COM,00847X104,17823000,333259,SH, ,DFND,2020-06-30
22,AGNC INVT CORP,COM,00123Q104,5773000,447558,SH, ,DFND,2020-06-30
23,AGORA INC,ADS,00851L103,1325000,30000,SH, ,DFND,2020-06-30
24,AIMMUNE THERAPEUTICS INC,COM,00900T107,12886000,771126,SH, ,DFND,2020-06-30
25,AIR PRODS & CHEMS INC,COM,009158106,17557000,72710,SH, ,DFND,2020-06-30
26,AKCEA THERAPEUTICS INC,COM,00972L107,3530000,257645,SH, ,DFND,2020-06-30
27,AKEBIA THERAPEUTICS INC,COM,00972D105,9968000,734028,SH, ,DFND,2020-06-30
28,AKERO THERAPEUTICS INC,COM,00973Y108,11090000,445032,SH, ,DFND,2020-06-30
29,AKOUOS INC,COM,00973J101,146000,6500,SH, ,DFND,2020-06-30
30,ALASKA AIR GROUP INC,COM,011659109,9702000,267565,SH, ,DFND,2020-06-30
31,ALBERTSONS COS INC,COMMON STOCK,013091103,11902000,754700,SH, ,DFND,2020-06-30
32,ALBIREO PHARMA INC,COM,01345P106,4636000,175000,SH, ,DFND,2020-06-30
33,ALCOA CORP,COM,013872106,5063000,450449,SH, ,DFND,2020-06-30
34,ALECTOR INC,COM,014442107,7045000,288263,SH, ,DFND,2020-06-30
35,ALEXION PHARMACEUTICALS INC,COM,015351109,135961000,1211342,SH, ,DFND,2020-06-30
