,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,21VIANET GROUP INC,SPONSORED ADS A,90138A103,261000,32829,SH, ,DFND,2019-03-31
1,2U INC,COM,90214J101,255000,3603,SH, ,DFND,2019-03-31
2,3M CO,COM,88579Y101,44673000,215000,SH,Put,DFND,2019-03-31
3,8X8 INC NEW,COM,282914100,94713000,4688783,SH, ,DFND,2019-03-31
4,AARONS INC,COM PAR $0.50,002535300,4483000,85220,SH, ,DFND,2019-03-31
5,ABBOTT LABS,COM,002824100,41188000,515235,SH, ,DFND,2019-03-31
6,ABBVIE INC,COM,00287Y109,5652000,70130,SH, ,DFND,2019-03-31
7,ABERCROMBIE & FITCH CO,CL A,002896207,9135000,333275,SH, ,DFND,2019-03-31
8,ABIOMED INC,COM,003654100,8509000,29794,SH, ,DFND,2019-03-31
9,ACACIA COMMUNICATIONS INC,COM,00401C108,5787000,100900,SH, ,DFND,2019-03-31
10,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,16405000,559722,SH, ,DFND,2019-03-31
11,ACADIA PHARMACEUTICALS INC,COM,004225108,10513000,391528,SH, ,DFND,2019-03-31
12,ACCELERATE DIAGNOSTICS INC,COM,00430H102,1170000,55638,SH, ,DFND,2019-03-31
13,ACCELERON PHARMA INC,COM,00434H108,23178000,497700,SH, ,DFND,2019-03-31
14,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,438000,2487,SH, ,DFND,2019-03-31
15,ACORDA THERAPEUTICS INC,COM,00484M106,3218000,242100,SH, ,DFND,2019-03-31
16,ACTIVISION BLIZZARD INC,COM,00507V109,21886000,480700,SH, ,DFND,2019-03-31
17,ACUITY BRANDS INC,COM,00508Y102,13321000,110999,SH, ,DFND,2019-03-31
18,ADAMAS PHARMACEUTICALS INC,COM,00548A106,7466000,1050000,SH, ,DFND,2019-03-31
19,ADDUS HOMECARE CORP,COM,006739106,4583000,72073,SH, ,DFND,2019-03-31
20,ADECOAGRO S A,COM,L00849106,15000000,2177018,SH, ,DFND,2019-03-31
21,ADECOAGRO S A,COM,L00849106,6890000,1000000,SH,Call,DFND,2019-03-31
22,ADIENT PLC,ORD SHS,G0084W101,6480000,500000,SH,Put,DFND,2019-03-31
23,ADOBE INC,COM,00724F101,191192000,717445,SH, ,DFND,2019-03-31
24,ADT INC,COM,00090Q103,51000,8047,SH, ,DFND,2019-03-31
25,ADTALEM GLOBAL ED INC,COM,00737L103,10000,221,SH, ,DFND,2019-03-31
26,ADVANCE AUTO PARTS INC,COM,00751Y106,184386000,1081251,SH, ,DFND,2019-03-31
27,ADVANCED MICRO DEVICES INC,COM,007903107,134276000,5261582,SH, ,DFND,2019-03-31
28,ADVANSIX INC,COM,00773T101,1466000,51300,SH, ,DFND,2019-03-31
29,ADVERUM BIOTECHNOLOGIES INC,COM,00773U108,2096000,400000,SH, ,DFND,2019-03-31
30,AECOM,COM,00766T100,19130000,644760,SH, ,DFND,2019-03-31
31,AFLAC INC,COM,001055102,11952000,239033,SH, ,DFND,2019-03-31
32,AGILENT TECHNOLOGIES INC,COM,00846U101,2757000,34303,SH, ,DFND,2019-03-31
33,AGIOS PHARMACEUTICALS INC,COM,00847X104,7584000,112458,SH, ,DFND,2019-03-31
34,AIR PRODS & CHEMS INC,COM,009158106,965000,5056,SH, ,DFND,2019-03-31
35,AKEBIA THERAPEUTICS INC,COM,00972D105,819000,100000,SH,Call,DFND,2019-03-31
36,ALASKA AIR GROUP INC,COM,011659109,59031000,1051879,SH, ,DFND,2019-03-31
37,ALBEMARLE CORP,COM,012653101,16978000,207097,SH, ,DFND,2019-03-31
38,ALBIREO PHARMA INC,COM,01345P106,5910000,183495,SH, ,DFND,2019-03-31
39,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,180546000,989566,SH, ,DFND,2019-03-31
40,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,57472000,315000,SH,Call,DFND,2019-03-31
41,ALLEGHANY CORP DEL,COM,017175100,11245000,18362,SH, ,DFND,2019-03-31
42,ALLEGHENY TECHNOLOGIES INC,COM,01741R102,4927000,192701,SH, ,DFND,2019-03-31
43,ALLEGIANT TRAVEL CO,COM,01748X102,13912000,107450,SH, ,DFND,2019-03-31
44,ALLIANCE DATA SYSTEMS CORP,COM,018581108,13818000,78971,SH, ,DFND,2019-03-31
45,ALLISON TRANSMISSION HLDGS I,COM,01973R101,5479000,121969,SH, ,DFND,2019-03-31
46,ALLSCRIPTS HEALTHCARE SOLUTN,COM,01988P108,1073000,112495,SH, ,DFND,2019-03-31
47,ALLSTATE CORP,COM,020002101,35327000,375099,SH, ,DFND,2019-03-31
48,ALLY FINL INC,COM,02005N100,5179000,188400,SH, ,DFND,2019-03-31
49,ALPHABET INC,CAP STK CL A,02079K305,261877000,222516,SH, ,DFND,2019-03-31
50,ALPHABET INC,CAP STK CL A,02079K305,35307000,30000,SH,Call,DFND,2019-03-31
51,ALPHABET INC,CAP STK CL C,02079K107,25382000,21633,SH, ,DFND,2019-03-31
52,ALTABA INC,COM,021346101,3037000,40969,SH, ,DFND,2019-03-31
53,ALTERYX INC,COM CL A,02156B103,10006000,119300,SH, ,DFND,2019-03-31
54,ALTICE USA INC,CL A,02156K103,8345000,388500,SH, ,DFND,2019-03-31
55,AMARIN CORP PLC,SPONS ADR NEW,023111206,85143000,4101323,SH, ,DFND,2019-03-31
56,AMAZON COM INC,COM,023135106,260203000,146120,SH, ,DFND,2019-03-31
57,AMAZON COM INC,COM,023135106,35615000,20000,SH,Call,DFND,2019-03-31
58,AMC NETWORKS INC,CL A,00164V103,2270000,40000,SH,Put,DFND,2019-03-31
59,AMERICAN EAGLE OUTFITTERS IN,COM,02553E106,252000,11385,SH, ,DFND,2019-03-31
60,AMERICAN ELEC PWR CO INC,COM,025537101,20912000,249700,SH, ,DFND,2019-03-31
61,AMERICAN EXPRESS CO,COM,025816109,1541000,14100,SH, ,DFND,2019-03-31
62,AMERICAN FINL GROUP INC OHIO,COM,025932104,13063000,135771,SH, ,DFND,2019-03-31
63,AMERICAN INTL GROUP INC,COM NEW,026874784,5830000,135400,SH, ,DFND,2019-03-31
64,AMERICAN TOWER CORP NEW,COM,03027X100,60162000,305300,SH,Put,DFND,2019-03-31
65,AMERICAN WOODMARK CORPORATIO,COM,030506109,7940000,96089,SH, ,DFND,2019-03-31
66,AMERICAN WTR WKS CO INC NEW,COM,030420103,1407000,13494,SH, ,DFND,2019-03-31
67,AMETEK INC NEW,COM,031100100,21108000,254400,SH, ,DFND,2019-03-31
68,AMGEN INC,COM,031162100,3800000,20000,SH,Call,DFND,2019-03-31
69,AMN HEALTHCARE SERVICES INC,COM,001744101,21725000,461352,SH, ,DFND,2019-03-31
70,AMN HEALTHCARE SERVICES INC,COM,001744101,4709000,100000,SH,Call,DFND,2019-03-31
71,AMPHENOL CORP NEW,CL A,032095101,11248000,119107,SH, ,DFND,2019-03-31
72,ANADARKO PETE CORP,COM,032511107,230336000,5064558,SH, ,DFND,2019-03-31
73,ANADARKO PETE CORP,COM,032511107,125070000,2750000,SH,Call,DFND,2019-03-31
74,ANALOG DEVICES INC,COM,032654105,47082000,447253,SH, ,DFND,2019-03-31
75,ANAPTYSBIO INC,COM,032724106,2454000,33600,SH, ,DFND,2019-03-31
76,ANHEUSER BUSCH INBEV SA/NV,SPONSORED ADR,03524A108,59110000,703946,SH, ,DFND,2019-03-31
77,ANTERO MIDSTREAM CORP,COM,03676B102,3835000,278300,SH, ,DFND,2019-03-31
78,ANTHEM INC,COM,036752103,172933000,602597,SH, ,DFND,2019-03-31
79,AON PLC,SHS CL A,G0408V102,4575000,26800,SH, ,DFND,2019-03-31
80,APACHE CORP,COM,037411105,8665000,250000,SH,Put,DFND,2019-03-31
81,APARTMENT INVT & MGMT CO,CL A,03748R754,297000,5900,SH, ,DFND,2019-03-31
82,APELLIS PHARMACEUTICALS INC,COM,03753U106,6506000,333629,SH, ,DFND,2019-03-31
83,APPLE INC,COM,037833100,3682000,19383,SH, ,DFND,2019-03-31
84,APPLIED MATLS INC,COM,038222105,4025000,101500,SH, ,DFND,2019-03-31
85,APTARGROUP INC,COM,038336103,230000,2164,SH, ,DFND,2019-03-31
86,APTEVO THERAPEUTICS INC,COM,03835L108,1980000,2200000,SH, ,DFND,2019-03-31
87,ARAMARK,COM,03852U106,895000,30298,SH, ,DFND,2019-03-31
88,ARCHER DANIELS MIDLAND CO,COM,039483102,55196000,1279748,SH, ,DFND,2019-03-31
89,ARCONIC INC,COM,03965L100,7753000,405708,SH, ,DFND,2019-03-31
90,ARCOSA INC,COM,039653100,851000,27861,SH, ,DFND,2019-03-31
91,ARES MANAGEMENT CORPORATION,CL A COM STK,03990B101,13500000,581650,SH, ,DFND,2019-03-31
92,ARGENX SE,SPONSORED ADR,04016X101,6242000,50000,SH, ,DFND,2019-03-31
93,ARRAY BIOPHARMA INC,COM,04269X105,61029000,2503248,SH, ,DFND,2019-03-31
94,ARRAY BIOPHARMA INC,COM,04269X105,12190000,500000,SH,Call,DFND,2019-03-31
95,ARROWHEAD PHARMACEUTICALS IN,COM,04280A100,167000,9097,SH, ,DFND,2019-03-31
96,ARVINAS INC,COM,04335A105,6125000,415000,SH, ,DFND,2019-03-31
97,ASHLAND GLOBAL HLDGS INC,COM,044186104,1593000,20395,SH, ,DFND,2019-03-31
98,ASPEN TECHNOLOGY INC,COM,045327103,21259000,203900,SH, ,DFND,2019-03-31
99,ASSEMBLY BIOSCIENCES INC,COM,045396108,1969000,100000,SH, ,DFND,2019-03-31
100,ASTRAZENECA PLC,SPONSORED ADR,046353108,95331000,2357922,SH, ,DFND,2019-03-31
101,AT HOME GROUP INC,COM,04650Y100,2002000,112120,SH, ,DFND,2019-03-31
102,AT&T INC,COM,00206R102,16558000,528000,SH,Call,DFND,2019-03-31
103,ATHENE HLDG LTD,CL A,G0684D107,6209000,152180,SH, ,DFND,2019-03-31
104,ATMOS ENERGY CORP,COM,049560105,15679000,152330,SH, ,DFND,2019-03-31
105,AUDENTES THERAPEUTICS INC,COM,05070R104,10676000,273600,SH, ,DFND,2019-03-31
106,AURINIA PHARMACEUTICALS INC,COM,05156V102,19000,2867,SH, ,DFND,2019-03-31
107,AUTOLIV INC,COM,052800109,120000,1633,SH, ,DFND,2019-03-31
108,AUTOMATIC DATA PROCESSING IN,COM,053015103,92171000,577007,SH, ,DFND,2019-03-31
109,AUTOZONE INC,COM,053332102,792000,773,SH, ,DFND,2019-03-31
110,AVALONBAY CMNTYS INC,COM,053484101,2097000,10449,SH, ,DFND,2019-03-31
111,AVANGRID INC,COM,05351W103,1644000,32645,SH, ,DFND,2019-03-31
112,AVAYA HLDGS CORP,COM,05351X101,29375000,1745421,SH, ,DFND,2019-03-31
113,AVERY DENNISON CORP,COM,053611109,20469000,181138,SH, ,DFND,2019-03-31
114,AVON PRODS INC,COM,054303102,2060000,700687,SH, ,DFND,2019-03-31
115,AXA EQUITABLE HLDGS INC,COM,054561105,60650000,3011399,SH, ,DFND,2019-03-31
116,AXALTA COATING SYS LTD,COM,G0750C108,4975000,197348,SH, ,DFND,2019-03-31
117,AXIS CAPITAL HOLDINGS LTD,SHS,G0692U109,9870000,180168,SH, ,DFND,2019-03-31
118,AXOGEN INC,COM,05463X106,7126000,338387,SH, ,DFND,2019-03-31
119,B & G FOODS INC NEW,COM,05508R106,418000,17100,SH, ,DFND,2019-03-31
120,BALL CORP,COM,058498106,1181000,20410,SH, ,DFND,2019-03-31
121,BANDWIDTH INC,COM CL A,05988J103,17604000,262900,SH, ,DFND,2019-03-31
122,BANK HAWAII CORP,COM,062540109,1529000,19389,SH, ,DFND,2019-03-31
123,BANKUNITED INC,COM,06652K103,17729000,530800,SH, ,DFND,2019-03-31
124,BAUSCH HEALTH COS INC,COM,071734107,49000,1972,SH, ,DFND,2019-03-31
125,BAUSCH HEALTH COS INC,COM,071734107,4940000,200000,SH,Call,DFND,2019-03-31
126,BAYTEX ENERGY CORP,COM,07317Q105,680000,400000,SH, ,DFND,2019-03-31
127,BB&T CORP,COM,054937107,23674000,508794,SH, ,DFND,2019-03-31
128,BEACON ROOFING SUPPLY INC,COM,073685109,2330000,72452,SH, ,DFND,2019-03-31
129,BENEFITFOCUS INC,COM,08180D106,25215000,509193,SH, ,DFND,2019-03-31
130,BERKLEY W R CORP,COM,084423102,1519000,17924,SH, ,DFND,2019-03-31
131,BERKSHIRE HATHAWAY INC DEL,CL B NEW,084670702,8726000,43437,SH, ,DFND,2019-03-31
132,BERRY GLOBAL GROUP INC,COM,08579W103,7418000,137700,SH, ,DFND,2019-03-31
133,BGC PARTNERS INC,CL A,05541T101,70591000,13293973,SH, ,DFND,2019-03-31
134,BHP GROUP LTD,SPONSORED ADS,088606108,10723000,196136,SH, ,DFND,2019-03-31
135,BIG LOTS INC,COM,089302103,1426000,37497,SH, ,DFND,2019-03-31
136,BILIBILI INC,SPONS ADS REP Z,090040106,14965000,789700,SH, ,DFND,2019-03-31
137,BIO RAD LABS INC,CL A,090572207,41993000,137376,SH, ,DFND,2019-03-31
138,BIOCRYST PHARMACEUTICALS,COM,09058V103,386000,47453,SH, ,DFND,2019-03-31
139,BJS RESTAURANTS INC,COM,09180C106,1080000,22852,SH, ,DFND,2019-03-31
140,BLACK KNIGHT INC,COM,09215C105,1021000,18737,SH, ,DFND,2019-03-31
141,BLACKLINE INC,COM,09239B109,1561000,33698,SH, ,DFND,2019-03-31
142,BLACKROCK INC,COM,09247X101,19808000,46348,SH, ,DFND,2019-03-31
143,BLACKSTONE MTG TR INC,COM CL A,09257W100,389000,11245,SH, ,DFND,2019-03-31
144,BLOCK H & R INC,COM,093671105,22000,917,SH, ,DFND,2019-03-31
145,BLOCK H & R INC,COM,093671105,1580000,66000,SH,Put,DFND,2019-03-31
146,BLOOM ENERGY CORP,COM CL A,093712107,16000,1210,SH, ,DFND,2019-03-31
147,BLOOMIN BRANDS INC,COM,094235108,421000,20600,SH, ,DFND,2019-03-31
148,BMC STK HLDGS INC,COM,05591B109,1587000,89838,SH, ,DFND,2019-03-31
149,BOEING CO,COM,097023105,38353000,100553,SH, ,DFND,2019-03-31
150,BOISE CASCADE CO DEL,COM,09739D100,483000,18031,SH, ,DFND,2019-03-31
151,BONANZA CREEK ENERGY INC,COM NEW,097793400,88000,3900,SH, ,DFND,2019-03-31
152,BOOKING HLDGS INC,COM,09857L108,104253000,59747,SH, ,DFND,2019-03-31
153,BOOKING HLDGS INC,COM,09857L108,13087000,7500,SH,Call,DFND,2019-03-31
154,BOOT BARN HLDGS INC,COM,099406100,415000,14100,SH, ,DFND,2019-03-31
155,BORGWARNER INC,COM,099724106,3721000,96871,SH, ,DFND,2019-03-31
156,BOSTON PROPERTIES INC,COM,101121101,3245000,24235,SH, ,DFND,2019-03-31
157,BOSTON SCIENTIFIC CORP,COM,101137107,410000,10672,SH, ,DFND,2019-03-31
158,BOX INC,CL A,10316T104,1476000,76414,SH, ,DFND,2019-03-31
159,BRF SA,SPONSORED ADR,10552T107,4286000,736500,SH, ,DFND,2019-03-31
160,BRIGHTSPHERE INVESTMNT GRP P,SHS,G1644T109,7271000,536218,SH, ,DFND,2019-03-31
161,BRISTOL MYERS SQUIBB CO,COM,110122108,155552000,3260370,SH, ,DFND,2019-03-31
162,BROADCOM INC,COM,11135F101,12251000,40739,SH, ,DFND,2019-03-31
163,BRUKER CORP,COM,116794108,22574000,587248,SH, ,DFND,2019-03-31
164,BRUNSWICK CORP,COM,117043109,36335000,721935,SH, ,DFND,2019-03-31
165,BT GROUP PLC,ADR,05577E101,2453000,165877,SH, ,DFND,2019-03-31
166,BUILDERS FIRSTSOURCE INC,COM,12008R107,1487000,111468,SH, ,DFND,2019-03-31
167,BUNGE LIMITED,COM,G16962105,7510000,141516,SH, ,DFND,2019-03-31
168,BUNGE LIMITED,COM,G16962105,53866000,1015000,SH,Call,DFND,2019-03-31
169,BURLINGTON STORES INC,COM,122017106,61294000,391202,SH, ,DFND,2019-03-31
170,C H ROBINSON WORLDWIDE INC,COM NEW,12541W209,3756000,43175,SH, ,DFND,2019-03-31
171,C&J ENERGY SVCS INC NEW,COM,12674R100,42518000,2739573,SH, ,DFND,2019-03-31
172,CABOT CORP,COM,127055101,3458000,83068,SH, ,DFND,2019-03-31
173,CACI INTL INC,CL A,127190304,5829000,32022,SH, ,DFND,2019-03-31
174,CAESARSTONE LTD,ORD SHS,M20598104,476000,30508,SH, ,DFND,2019-03-31
175,CALLAWAY GOLF CO,COM,131193104,1786000,112106,SH, ,DFND,2019-03-31
176,CALLON PETE CO DEL,COM,13123X102,1607000,212820,SH, ,DFND,2019-03-31
177,CALLON PETE CO DEL,COM,13123X102,3775000,500000,SH,Call,DFND,2019-03-31
178,CALYXT INC,COM,13173L107,5234000,297539,SH, ,DFND,2019-03-31
179,CAMDEN PPTY TR,SH BEN INT,133131102,472000,4652,SH, ,DFND,2019-03-31
180,CAMECO CORP,COM,13321L108,45000,3832,SH, ,DFND,2019-03-31
181,CAMPBELL SOUP CO,COM,134429109,9933000,260500,SH,Put,DFND,2019-03-31
182,CANADA GOOSE HOLDINGS INC,SHS SUB VTG,135086106,1191000,24800,SH, ,DFND,2019-03-31
183,CANADIAN NAT RES LTD,COM,136385101,55790000,2029230,SH, ,DFND,2019-03-31
184,CANADIAN PAC RY LTD,COM,13645T100,8247000,40000,SH, ,DFND,2019-03-31
185,CAPITAL ONE FINL CORP,COM,14040H105,219544000,2687527,SH, ,DFND,2019-03-31
186,CAPRI HOLDINGS LIMITED,SHS,G1890L107,41225000,901089,SH, ,DFND,2019-03-31
187,CARA THERAPEUTICS INC,COM,140755109,1792000,91324,SH, ,DFND,2019-03-31
188,CARBON BLACK INC,COM,14081R103,14349000,1028613,SH, ,DFND,2019-03-31
189,CAREDX INC,COM,14167L103,327000,10372,SH, ,DFND,2019-03-31
190,CARNIVAL CORP,UNIT 99/99/9999,143658300,8886000,175200,SH, ,DFND,2019-03-31
191,CARRIZO OIL & GAS INC,COM,144577103,6840000,548539,SH, ,DFND,2019-03-31
192,CARVANA CO,CL A,146869102,35623000,613560,SH, ,DFND,2019-03-31
193,CASA SYS INC,COM,14713L102,1663000,200309,SH, ,DFND,2019-03-31
194,CASEYS GEN STORES INC,COM,147528103,3441000,26725,SH, ,DFND,2019-03-31
195,CATERPILLAR INC DEL,COM,149123101,19817000,146259,SH, ,DFND,2019-03-31
196,CATERPILLAR INC DEL,COM,149123101,23033000,170000,SH,Call,DFND,2019-03-31
197,CBOE GLOBAL MARKETS INC,COM,12503M108,15270000,160000,SH, ,DFND,2019-03-31
198,CBRE GROUP INC,CL A,12504L109,1203000,24318,SH, ,DFND,2019-03-31
199,CBS CORP NEW,CL B,124857202,3358000,70654,SH, ,DFND,2019-03-31
