,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,ABB LTD,SPONSORED ADR,000375204,447000,19100,SH, ,DFND,2017-03-31
1,ABBVIE INC,COM,00287Y109,61270000,940300,SH, ,DFND,2017-03-31
2,ABERCROMBIE & FITCH CO,CL A,002896207,5055000,423700,SH, ,DFND,2017-03-31
3,ABIOMED INC,COM,003654100,7099000,56700,SH, ,DFND,2017-03-31
4,ABRAXAS PETE CORP,COM,003830106,2596000,1285000,SH, ,DFND,2017-03-31
5,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,47306000,1085000,SH, ,DFND,2017-03-31
6,ACADIA PHARMACEUTICALS INC,COM,004225108,66395000,1931200,SH, ,DFND,2017-03-31
7,ACCELERON PHARMA INC,COM,00434H108,4837000,182741,SH, ,DFND,2017-03-31
8,ACHAOGEN INC,COM,004449104,14406000,570971,SH, ,DFND,2017-03-31
9,ACLARIS THERAPEUTICS INC,COM,00461U105,13715000,459916,SH, ,DFND,2017-03-31
10,ACORDA THERAPEUTICS INC,COM,00484M106,840000,40000,SH,Put,DFND,2017-03-31
11,ACTUANT CORP,CL A NEW,00508X203,2493000,94600,SH, ,DFND,2017-03-31
12,ADAMAS PHARMACEUTICALS INC,COM,00548A106,915000,52300,SH, ,DFND,2017-03-31
13,ADAPTIMMUNE THERAPEUTICS PLC,SPONDS ADR,00653A107,2883000,523300,SH, ,DFND,2017-03-31
14,ADVANCE AUTO PARTS INC,COM,00751Y106,228154000,1538878,SH, ,DFND,2017-03-31
15,ADVANSIX INC,COM,00773T101,13215000,483700,SH, ,DFND,2017-03-31
16,AETNA INC NEW,COM,00817Y108,29120000,228300,SH, ,DFND,2017-03-31
17,AGCO CORP,COM,001084102,4213000,70000,SH, ,DFND,2017-03-31
18,AGILENT TECHNOLOGIES INC,COM,00846U101,52671000,996237,SH, ,DFND,2017-03-31
