,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,AAR CORP,COM,000361105,2624000,99800,SH, ,DFND,2015-12-31
1,ABAXIS INC,COM,002567105,2851000,51200,SH, ,DFND,2015-12-31
2,ABENGOA YIELD PLC,ORD SHS,G00349103,3347000,173499,SH, ,DFND,2015-12-31
3,ABERCROMBIE & FITCH CO,CALL,002896207,8100000,300000,SH,Call,DFND,2015-12-31
4,ABERCROMBIE & FITCH CO,CL A,002896207,51478000,1906600,SH, ,DFND,2015-12-31
5,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,319000,5100,SH, ,DFND,2015-12-31
6,ACADIA PHARMACEUTICALS INC,COM,004225108,10830000,303800,SH, ,DFND,2015-12-31
7,ACCO BRANDS CORP,COM,00081T108,5147000,721865,SH, ,DFND,2015-12-31
8,ACCURAY INC,COM,004397105,12778000,1893000,SH, ,DFND,2015-12-31
9,ACE LTD,SHS,H0023R105,16815000,143900,SH, ,DFND,2015-12-31
10,ACHAOGEN INC,COM,004449104,1398000,243490,SH, ,DFND,2015-12-31
11,ACHILLION PHARMACEUTICALS IN,COM,00448Q201,96750000,8966608,SH, ,DFND,2015-12-31
12,ACORDA THERAPEUTICS INC,COM,00484M106,6477000,151400,SH, ,DFND,2015-12-31
13,ADAPTIMMUNE THERAPEUTICS PLC,SPONDS ADR,00653A107,1570000,130200,SH, ,DFND,2015-12-31
14,ADTRAN INC,COM,00738A106,2890000,167800,SH, ,DFND,2015-12-31
15,ADVANCE AUTO PARTS INC,COM,00751Y106,218947000,1454700,SH, ,DFND,2015-12-31
16,ADVANTAGE OIL & GAS LTD,COM,00765F101,4575000,900000,SH, ,DFND,2015-12-31
17,AFFILIATED MANAGERS GROUP,COM,008252108,16967000,106200,SH, ,DFND,2015-12-31
18,AFFYMETRIX INC,COM,00826T108,1292000,128000,SH, ,DFND,2015-12-31
19,AGENUS INC,COM NEW,00847G705,17506000,3855852,SH, ,DFND,2015-12-31
20,AGILENT TECHNOLOGIES INC,COM,00846U101,10294000,246200,SH, ,DFND,2015-12-31
21,AGNICO EAGLE MINES LTD,COM,008474108,2213000,84200,SH, ,DFND,2015-12-31
22,AGRIUM INC,COM,008916108,3323000,37200,SH, ,DFND,2015-12-31
23,AIR METHODS CORP,COM PAR $.06,009128307,3195000,76200,SH, ,DFND,2015-12-31
24,AIR PRODS & CHEMS INC,COM,009158106,32059000,246400,SH, ,DFND,2015-12-31
25,AKAMAI TECHNOLOGIES INC,COM,00971T101,8863000,168400,SH, ,DFND,2015-12-31
26,AKEBIA THERAPEUTICS INC,COM,00972D105,543000,42000,SH, ,DFND,2015-12-31
27,AKORN INC,COM,009728106,15964000,427865,SH, ,DFND,2015-12-31
28,ALBEMARLE CORP,COM,012653101,20315000,362700,SH, ,DFND,2015-12-31
29,ALCOA INC,COM,013817101,17419000,1764800,SH, ,DFND,2015-12-31
30,ALDER BIOPHARMACEUTICALS INC,COM,014339105,42404000,1283800,SH, ,DFND,2015-12-31
31,ALERE INC,COM,01449J105,12665000,324000,SH, ,DFND,2015-12-31
32,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,10971000,135000,SH, ,DFND,2015-12-31
33,ALIGN TECHNOLOGY INC,COM,016255101,8100000,123000,SH, ,DFND,2015-12-31
34,ALLEGION PUB LTD CO,ORD SHS,G0176J109,49559000,751800,SH, ,DFND,2015-12-31
35,ALLERGAN PLC,SHS,G0177J108,22875000,73200,SH, ,DFND,2015-12-31
36,ALLIANCE DATA SYSTEMS CORP,COM,018581108,8034000,29050,SH, ,DFND,2015-12-31
37,ALLIED WRLD ASSUR COM HLDG A,SHS,H01531104,4098000,110200,SH, ,DFND,2015-12-31
38,ALLY FINL INC,COM,02005N100,16198000,869000,SH, ,DFND,2015-12-31
39,ALON USA ENERGY INC,COM,020520102,8149000,549100,SH, ,DFND,2015-12-31
40,ALPHABET INC,CAP STK CL A,02079K305,294166000,378100,SH, ,DFND,2015-12-31
41,ALPHABET INC,CAP STK CL C,02079K107,36047000,47500,SH, ,DFND,2015-12-31
42,AMAZON COM INC,COM,023135106,5475000,8100,SH, ,DFND,2015-12-31
43,AMC ENTMT HLDGS INC,CL A COM,00165C104,982000,40900,SH, ,DFND,2015-12-31
44,AMEDISYS INC,COM,023436108,3826000,97300,SH, ,DFND,2015-12-31
45,AMERICAN AIRLS GROUP INC,COM,02376R102,34000,800,SH, ,DFND,2015-12-31
46,AMERICAN AXLE & MFG HLDGS IN,COM,024061103,1252000,66100,SH, ,DFND,2015-12-31
47,AMERICAN CAP LTD,COM,02503Y103,1379000,100000,SH, ,DFND,2015-12-31
48,AMERICAN EQTY INVT LIFE HLD,COM,025676206,4054000,168700,SH, ,DFND,2015-12-31
49,AMERICAN INTL GROUP INC,COM NEW,026874784,8347000,134700,SH, ,DFND,2015-12-31
50,AMPLIFY SNACK BRANDS,COM,03211L102,2449000,212600,SH, ,DFND,2015-12-31
51,AMSURG CORP,COM,03232P405,874000,11500,SH, ,DFND,2015-12-31
52,AMTRUST FINL SVCS INC,COM,032359309,7131000,115800,SH, ,DFND,2015-12-31
53,ANACOR PHARMACEUTICALS INC,COM,032420101,14178000,125500,SH, ,DFND,2015-12-31
54,ANADARKO PETE CORP,COM,032511107,9017000,185616,SH, ,DFND,2015-12-31
55,ANTERO RES CORP,COM,03674X106,5714000,262100,SH, ,DFND,2015-12-31
56,APACHE CORP,COM,037411105,2224000,50000,SH, ,DFND,2015-12-31
57,APPLIED GENETIC TECHNOL CORP,COM,03820J100,14670000,719100,SH, ,DFND,2015-12-31
58,APPLIED MATLS INC,COM,038222105,79581000,4262500,SH, ,DFND,2015-12-31
59,ARADIGM CORP,COM NO PAR NEW,038505400,1273000,320585,SH, ,DFND,2015-12-31
60,ARAMARK,COM,03852U106,5770000,178900,SH, ,DFND,2015-12-31
61,ARCH CAP GROUP LTD,ORD,G0450A105,1249000,17900,SH, ,DFND,2015-12-31
62,ARCHROCK INC,COM,03957W106,3112000,413800,SH, ,DFND,2015-12-31
63,ARGO GROUP INTL HLDGS LTD,COM,G0464B107,2394000,40000,SH, ,DFND,2015-12-31
64,ARRAY BIOPHARMA INC,COM,04269X105,4018000,952200,SH, ,DFND,2015-12-31
65,ASBURY AUTOMOTIVE GROUP INC,COM,043436104,7634000,113200,SH, ,DFND,2015-12-31
66,ASCENA RETAIL GROUP INC,COM,04351G101,8668000,880000,SH, ,DFND,2015-12-31
