,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,58 COM INC,SPON ADR REP A,31680Q104,1421000,20500,SH, ,DFND,2018-06-30
1,8X8 INC NEW,COM,282914100,62686000,3126500,SH, ,DFND,2018-06-30
2,ACADIA PHARMACEUTICALS INC,COM,004225108,47253000,3094501,SH, ,DFND,2018-06-30
3,ACADIA PHARMACEUTICALS INC,COM,004225108,32067000,2100000,SH,Call,DFND,2018-06-30
4,ACLARIS THERAPEUTICS INC,COM,00461U105,5390000,269922,SH, ,DFND,2018-06-30
5,ACTIVISION BLIZZARD INC,COM,00507V109,3587000,47000,SH, ,DFND,2018-06-30
6,ADAMAS PHARMACEUTICALS INC,COM,00548A106,58689000,2272115,SH, ,DFND,2018-06-30
7,ADECOAGRO S A,COM,L00849106,8055000,1013207,SH, ,DFND,2018-06-30
8,ADOBE SYS INC,COM,00724F101,26648000,109300,SH, ,DFND,2018-06-30
9,ADT INC,COM,00090Q103,1022000,118100,SH, ,DFND,2018-06-30
10,ADVANCE AUTO PARTS INC,COM,00751Y106,11507000,84800,SH, ,DFND,2018-06-30
11,ADVANCED MICRO DEVICES INC,COM,007903107,46531000,3104150,SH, ,DFND,2018-06-30
12,ADVANCED MICRO DEVICES INC,NOTE 2.125% 9/0,007903BD8,1493000,750000,PRN, ,DFND,2018-06-30
13,ADVANSIX INC,COM,00773T101,4038000,110231,SH, ,DFND,2018-06-30
14,AERIE PHARMACEUTICALS INC,COM,00771V108,12314000,182300,SH, ,DFND,2018-06-30
15,AFFIMED N V,COM,N01045108,413000,250000,SH, ,DFND,2018-06-30
16,AGILENT TECHNOLOGIES INC,COM,00846U101,6308000,102000,SH, ,DFND,2018-06-30
17,AGIOS PHARMACEUTICALS INC,COM,00847X104,13072000,155200,SH, ,DFND,2018-06-30
18,AIMMUNE THERAPEUTICS INC,COM,00900T107,45411000,1688783,SH, ,DFND,2018-06-30
19,AIR LEASE CORP,CL A,00912X302,7471000,178000,SH, ,DFND,2018-06-30
20,AIR LEASE CORP,CL A,00912X302,8394000,200000,SH,Put,DFND,2018-06-30
21,AIR PRODS & CHEMS INC,COM,009158106,25080000,161050,SH, ,DFND,2018-06-30
22,ALARM COM HLDGS INC,COM,011642105,1042000,25800,SH, ,DFND,2018-06-30
23,ALASKA AIR GROUP INC,COM,011659109,29884000,494843,SH, ,DFND,2018-06-30
24,ALBEMARLE CORP,COM,012653101,3302000,35000,SH, ,DFND,2018-06-30
25,ALDER BIOPHARMACEUTICALS INC,COM,014339105,1956000,123800,SH, ,DFND,2018-06-30
26,ALEXION PHARMACEUTICALS INC,COM,015351109,54353000,437800,SH, ,DFND,2018-06-30
27,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,165454000,891791,SH, ,DFND,2018-06-30
28,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,384140000,2070500,SH,Call,DFND,2018-06-30
29,ALLEGHENY TECHNOLOGIES INC,COM,01741R102,5614000,223500,SH, ,DFND,2018-06-30
30,ALLEGION PUB LTD CO,ORD SHS,G0176J109,10420000,134700,SH, ,DFND,2018-06-30
31,ALLERGAN PLC,SHS,G0177J108,2727000,16354,SH, ,DFND,2018-06-30
32,ALLIANCE DATA SYSTEMS CORP,COM,018581108,22994000,98600,SH, ,DFND,2018-06-30
33,ALLIANCE DATA SYSTEMS CORP,COM,018581108,11660000,50000,SH,Call,DFND,2018-06-30
34,ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,133593000,1356408,SH, ,DFND,2018-06-30
35,ALPHABET INC,CAP STK CL A,02079K305,317967000,281589,SH, ,DFND,2018-06-30
36,ALPHABET INC,CAP STK CL A,02079K305,309398000,274000,SH,Call,DFND,2018-06-30
37,ALPHABET INC,CAP STK CL C,02079K107,44796000,40152,SH, ,DFND,2018-06-30
38,ALPS ETF TR,ALERIAN MLP,00162Q866,2525000,250000,SH, ,DFND,2018-06-30
39,ALPS ETF TR,ALERIAN MLP,00162Q866,9583000,948800,SH,Call,DFND,2018-06-30
40,ALTA MESA RES INC,*W EXP 03/28/202,02133L117,1061000,758128,SH, ,DFND,2018-06-30
41,ALTA MESA RES INC,CL A,02133L109,32716000,4804104,SH, ,DFND,2018-06-30
42,ALTABA INC,COM,021346101,89785000,1226400,SH,Call,DFND,2018-06-30
43,ALTAIR ENGR INC,COM CL A,021369103,7174000,209900,SH, ,DFND,2018-06-30
44,ALTERYX INC,COM CL A,02156B103,12649000,331483,SH, ,DFND,2018-06-30
45,ALTICE USA INC,CL A,02156K103,72414000,4244667,SH, ,DFND,2018-06-30
46,AMAZON COM INC,COM,023135106,341203000,200731,SH, ,DFND,2018-06-30
47,AMAZON COM INC,COM,023135106,225733000,132800,SH,Call,DFND,2018-06-30
48,AMC ENTMT HLDGS INC,CL A COM,00165C104,1177000,74000,SH,Put,DFND,2018-06-30
49,AMERICAN AXLE & MFG HLDGS IN,COM,024061103,1816000,116700,SH, ,DFND,2018-06-30
50,AMERICAN ELEC PWR INC,COM,025537101,67470000,974300,SH, ,DFND,2018-06-30
51,AMERICAN EQTY INVT LIFE HLD,COM,025676206,10379000,288300,SH, ,DFND,2018-06-30
52,AMERICAN HOMES 4 RENT,CL A,02665T306,710000,32000,SH, ,DFND,2018-06-30
53,AMERICAN OUTDOOR BRANDS CORP,COM,02874P103,9691000,805600,SH, ,DFND,2018-06-30
54,AMERICAN TOWER CORP NEW,COM,03027X100,28834000,200000,SH,Put,DFND,2018-06-30
55,AMERIPRISE FINL INC,COM,03076C106,12407000,88700,SH, ,DFND,2018-06-30
56,AMERISOURCEBERGEN CORP,COM,03073E105,18623000,218400,SH, ,DFND,2018-06-30
57,AMETEK INC NEW,COM,031100100,9071000,125700,SH, ,DFND,2018-06-30
58,AMICUS THERAPEUTICS INC,COM,03152W109,11048000,707300,SH, ,DFND,2018-06-30
59,AMPHENOL CORP NEW,CL A,032095101,21613000,248000,SH, ,DFND,2018-06-30
60,ANADARKO PETE CORP,COM,032511107,80034000,1092619,SH, ,DFND,2018-06-30
61,ANTERO RES CORP,COM,03674X106,4804000,225000,SH, ,DFND,2018-06-30
62,ANTHEM INC,COM,036752103,71802000,301653,SH, ,DFND,2018-06-30
63,AON PLC,SHS CL A,G0408V102,25851000,188462,SH, ,DFND,2018-06-30
64,APACHE CORP,COM,037411105,14726000,315000,SH, ,DFND,2018-06-30
65,APOGEE ENTERPRISES INC,COM,037598109,130000,2700,SH, ,DFND,2018-06-30
66,APPIAN CORP,CL A,03782L101,264000,7300,SH, ,DFND,2018-06-30
67,APPLIED GENETIC TECHNOL CORP,COM,03820J100,792000,214000,SH, ,DFND,2018-06-30
68,APPLIED INDL TECHNOLOGIES IN,COM,03820C105,6690000,95364,SH, ,DFND,2018-06-30
69,APPLIED MATLS INC,COM,038222105,4766000,103190,SH, ,DFND,2018-06-30
70,APPTIO INC,CL A,03835C108,8645000,238800,SH, ,DFND,2018-06-30
71,APTARGROUP INC,COM,038336103,654000,7000,SH, ,DFND,2018-06-30
72,APTINYX INC,COM,03836N103,725000,30000,SH, ,DFND,2018-06-30
73,APTIV PLC,SHS,G6095L109,2923000,31900,SH, ,DFND,2018-06-30
74,ARAMARK,COM,03852U106,27604000,744039,SH, ,DFND,2018-06-30
75,ARAMARK,COM,03852U106,51940000,1400000,SH,Call,DFND,2018-06-30
76,ARCH COAL INC,CL A,039380407,9568000,122000,SH, ,DFND,2018-06-30
77,ARCHER DANIELS MIDLAND CO,COM,039483102,118587000,2587534,SH, ,DFND,2018-06-30
78,ARENA PHARMACEUTICALS INC,COM NEW,040047607,59619000,1367400,SH, ,DFND,2018-06-30
79,ARES MGMT LP,COM SHS REG INT,04014Y101,286000,13800,SH, ,DFND,2018-06-30
80,ARGENX SE,SPONSORED ADR,04016X101,5881000,70978,SH, ,DFND,2018-06-30
81,ARMSTRONG WORLD INDS INC NEW,COM,04247X102,9155000,144850,SH, ,DFND,2018-06-30
82,ARRIS INTL INC,SHS,G0551A103,21105000,863383,SH, ,DFND,2018-06-30
83,ASPEN INSURANCE HOLDINGS LTD,SHS,G05384105,6372000,156551,SH, ,DFND,2018-06-30
84,ASSOCIATED BANC CORP,COM,045487105,966000,35400,SH, ,DFND,2018-06-30
85,ASTEC INDS INC,COM,046224101,1316000,22001,SH, ,DFND,2018-06-30
86,ASTRAZENECA PLC,SPONSORED ADR,046353108,98380000,2802046,SH, ,DFND,2018-06-30
87,ASURE SOFTWARE INC,COM,04649U102,798000,50000,SH, ,DFND,2018-06-30
88,AT HOME GROUP INC,COM,04650Y100,10457000,267100,SH, ,DFND,2018-06-30
89,AT&T INC,COM,00206R102,48787000,1519360,SH, ,DFND,2018-06-30
90,AT&T INC,COM,00206R102,203256000,6330000,SH,Call,DFND,2018-06-30
91,ATHENAHEALTH INC,COM,04685W103,8514000,53500,SH, ,DFND,2018-06-30
92,ATHENE HLDG LTD,CL A,G0684D107,95444000,2177100,SH, ,DFND,2018-06-30
93,ATKORE INTL GROUP INC,COM,047649108,4293000,206700,SH, ,DFND,2018-06-30
94,AUTODESK INC,COM,052769106,27608000,210600,SH, ,DFND,2018-06-30
95,AUTOMATIC DATA PROCESSING IN,COM,053015103,39571000,295000,SH,Call,DFND,2018-06-30
96,AUTOZONE INC,COM,053332102,61390000,91500,SH, ,DFND,2018-06-30
97,AVALONBAY CMNTYS INC,COM,053484101,11296000,65715,SH, ,DFND,2018-06-30
98,AVERY DENNISON CORP,COM,053611109,52577000,514956,SH, ,DFND,2018-06-30
