,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,AAC HLDGS INC,COM,000307108,707000,35700,SH, ,DFND,2016-03-31
1,ABERCROMBIE & FITCH CO,CL A,002896207,7626000,241800,SH, ,DFND,2016-03-31
2,ACADIA PHARMACEUTICALS INC,CALL,004225108,12582000,450000,SH,Call,DFND,2016-03-31
3,ACADIA PHARMACEUTICALS INC,COM,004225108,62147000,2222700,SH, ,DFND,2016-03-31
4,ACCURAY INC,COM,004397105,9484000,1640800,SH, ,DFND,2016-03-31
5,ACHAOGEN INC,COM,004449104,720000,260691,SH, ,DFND,2016-03-31
6,ACHILLION PHARMACEUTICALS IN,COM,00448Q201,70282000,9103921,SH, ,DFND,2016-03-31
7,ACORDA THERAPEUTICS INC,COM,00484M106,1611000,60900,SH, ,DFND,2016-03-31
8,ACTIVISION BLIZZARD INC,COM,00507V109,7688000,227200,SH, ,DFND,2016-03-31
9,ADEPTUS HEALTH INC,CL A,006855100,10464000,188400,SH, ,DFND,2016-03-31
10,ADOBE SYS INC,COM,00724F101,43814000,467100,SH, ,DFND,2016-03-31
11,ADTRAN INC,COM,00738A106,4849000,239800,SH, ,DFND,2016-03-31
12,ADVANCE AUTO PARTS INC,COM,00751Y106,87882000,548100,SH, ,DFND,2016-03-31
13,ADVANTAGE OIL & GAS LTD,COM,00765F101,15662000,2850000,SH, ,DFND,2016-03-31
14,ADVISORY BRD CO,COM,00762W107,10762000,333700,SH, ,DFND,2016-03-31
15,AERCAP HOLDINGS NV,SHS,N00985106,957000,24700,SH, ,DFND,2016-03-31
16,AFFILIATED MANAGERS GROUP,COM,008252108,7990000,49200,SH, ,DFND,2016-03-31
17,AFFYMETRIX INC,COM,00826T108,8336000,595000,SH, ,DFND,2016-03-31
18,AGENUS INC,COM NEW,00847G705,6394000,1536948,SH, ,DFND,2016-03-31
19,AGILENT TECHNOLOGIES INC,COM,00846U101,1929000,48400,SH, ,DFND,2016-03-31
20,AGNICO EAGLE MINES LTD,COM,008474108,315000,8700,SH, ,DFND,2016-03-31
21,AIR METHODS CORP,COM PAR $.06,009128307,569000,15700,SH, ,DFND,2016-03-31
22,AIR PRODS & CHEMS INC,COM,009158106,187000,1300,SH, ,DFND,2016-03-31
23,AKEBIA THERAPEUTICS INC,COM,00972D105,1000,100,SH, ,DFND,2016-03-31
24,ALBEMARLE CORP,COM,012653101,1074000,16800,SH, ,DFND,2016-03-31
25,ALDER BIOPHARMACEUTICALS INC,COM,014339105,28257000,1153800,SH, ,DFND,2016-03-31
26,ALEXION PHARMACEUTICALS INC,COM,015351109,11931000,85700,SH, ,DFND,2016-03-31
27,ALIBABA GROUP HLDG LTD,CALL,01609W102,9879000,125000,SH,Call,DFND,2016-03-31
28,ALIGN TECHNOLOGY INC,COM,016255101,1294000,17800,SH, ,DFND,2016-03-31
29,ALLEGION PUB LTD CO,ORD SHS,G0176J109,16138000,253300,SH, ,DFND,2016-03-31
30,ALLIANCE DATA SYSTEMS CORP,COM,018581108,59202000,269100,SH, ,DFND,2016-03-31
31,ALLIED WRLD ASSUR COM HLDG A,SHS,H01531104,4273000,122300,SH, ,DFND,2016-03-31
32,ALLISON TRANSMISSION HLDGS I,COM,01973R101,1632000,60500,SH, ,DFND,2016-03-31
33,ALLSTATE CORP,COM,020002101,418000,6200,SH, ,DFND,2016-03-31
34,ALLY FINL INC,COM,02005N100,4534000,242200,SH, ,DFND,2016-03-31
35,ALON USA ENERGY INC,COM,020520102,11583000,1122400,SH, ,DFND,2016-03-31
36,ALPHABET INC,CAP STK CL A,02079K305,196294000,257300,SH, ,DFND,2016-03-31
37,ALPHABET INC,CAP STK CL C,02079K107,25328000,34000,SH, ,DFND,2016-03-31
38,ALPS ETF TR,ALERIAN MLP,00162Q866,710000,65000,SH, ,DFND,2016-03-31
39,AMAZON COM INC,COM,023135106,77529000,130600,SH, ,DFND,2016-03-31
40,AMAZON COM INC,CALL,023135106,44523000,75000,SH,Call,DFND,2016-03-31
41,AMC ENTMT HLDGS INC,CL A COM,00165C104,2057000,73500,SH, ,DFND,2016-03-31
42,AMC NETWORKS INC,CL A,00164V103,28580000,440100,SH, ,DFND,2016-03-31
43,AMEDISYS INC,COM,023436108,4442000,91900,SH, ,DFND,2016-03-31
44,AMERICAN AIRLS GROUP INC,COM,02376R102,9668000,235750,SH, ,DFND,2016-03-31
45,AMERICAN AXLE & MFG HLDGS IN,COM,024061103,3441000,223600,SH, ,DFND,2016-03-31
46,AMPLIFY SNACK BRANDS,COM,03211L102,3431000,239600,SH, ,DFND,2016-03-31
47,AMSURG CORP,COM,03232P405,5670000,76000,SH, ,DFND,2016-03-31
48,ANACOR PHARMACEUTICALS INC,COM,032420101,49625000,928440,SH, ,DFND,2016-03-31
49,ANADARKO PETE CORP,COM,032511107,133180000,2859774,SH, ,DFND,2016-03-31
50,ANALOG DEVICES INC,COM,032654105,63842000,1078600,SH, ,DFND,2016-03-31
51,ANDERSONS INC,COM,034164103,4052000,129000,SH, ,DFND,2016-03-31
52,ANTHEM INC,COM,036752103,23323000,167800,SH, ,DFND,2016-03-31
53,APPLE INC,COM,037833100,24468000,224500,SH, ,DFND,2016-03-31
54,APPLIED GENETIC TECHNOL CORP,COM,03820J100,1072000,76659,SH, ,DFND,2016-03-31
55,APPLIED INDL TECHNOLOGIES IN,COM,03820C105,7374000,169900,SH, ,DFND,2016-03-31
56,APTARGROUP INC,COM,038336103,3152000,40200,SH, ,DFND,2016-03-31
57,ARADIGM CORP,COM NO PAR NEW,038505400,1423000,320585,SH, ,DFND,2016-03-31
58,ARALEZ PHARMACEUTICALS INC,COM,03852X100,2260000,636652,SH, ,DFND,2016-03-31
59,ARAMARK,COM,03852U106,12778000,385800,SH, ,DFND,2016-03-31
60,ARCHROCK INC,COM,03957W106,1238000,154800,SH, ,DFND,2016-03-31
61,ARGO GROUP INTL HLDGS LTD,COM,G0464B107,2410000,42000,SH, ,DFND,2016-03-31
62,ASCENA RETAIL GROUP INC,COM,04351G101,5673000,512900,SH, ,DFND,2016-03-31
63,ASHLAND INC NEW,COM,044209104,4102000,37300,SH, ,DFND,2016-03-31
64,ATHENAHEALTH INC,COM,04685W103,69000,500,SH, ,DFND,2016-03-31
65,ATWOOD OCEANICS INC,COM,050095108,9516000,1037700,SH, ,DFND,2016-03-31
66,AUTONATION INC,COM,05329W102,1400000,30000,SH, ,DFND,2016-03-31
67,AUTOZONE INC,COM,053332102,149698000,187900,SH, ,DFND,2016-03-31
68,AVANGRID INC,COM,05351W103,34763000,866702,SH, ,DFND,2016-03-31
69,AXALTA COATING SYS LTD,COM,G0750C108,6719000,230100,SH, ,DFND,2016-03-31
70,AXIALL CORP,COM,05463D100,1800000,82400,SH, ,DFND,2016-03-31
71,AZZ INC,COM,002474104,5700000,100700,SH, ,DFND,2016-03-31
