,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,AARONS INC,COM PAR $0.50,002535300,77415000,2532400,SH, ,DFND,2014-12-31
1,ACADIA PHARMACEUTICALS INC,COM,004225108,32341000,1018600,SH, ,DFND,2014-12-31
2,ACCO BRANDS CORP,COM,00081T108,12164000,1350000,SH, ,DFND,2014-12-31
3,ACCURAY INC,COM,004397105,7188000,952100,SH, ,DFND,2014-12-31
4,ACE LTD,SHS,H0023R105,5824000,50700,SH, ,DFND,2014-12-31
5,ACHILLION PHARMACEUTICALS IN,COM,00448Q201,7618000,621900,SH, ,DFND,2014-12-31
6,ACORDA THERAPEUTICS INC,COM,00484M106,10129000,247841,SH, ,DFND,2014-12-31
7,ACTAVIS PLC,SHS,G0083B108,386000,1500,SH, ,DFND,2014-12-31
8,ADVANCED DRAIN SYS INC DEL,COM,00790R104,12411000,540100,SH, ,DFND,2014-12-31
9,ADVANCED ENERGY INDS,COM,007973100,11850000,500000,SH, ,DFND,2014-12-31
10,AEGERION PHARMACEUTICALS INC,COM,00767E102,38835000,1854600,SH, ,DFND,2014-12-31
11,AERCAP HOLDINGS NV,SHS,N00985106,9550000,246000,SH, ,DFND,2014-12-31
12,AERIE PHARMACEUTICALS INC,COM,00771V108,581000,19900,SH, ,DFND,2014-12-31
13,AGNICO EAGLE MINES LTD,COM,008474108,4508000,181100,SH, ,DFND,2014-12-31
14,AGRIUM INC,COM,008916108,2974000,31400,SH, ,DFND,2014-12-31
15,AIR PRODS & CHEMS INC,COM,009158106,102995000,714100,SH, ,DFND,2014-12-31
16,AK STL HLDG CORP,COM,001547108,21408000,3604100,SH, ,DFND,2014-12-31
17,AKORN INC,COM,009728106,4402000,121600,SH, ,DFND,2014-12-31
18,ALASKA AIR GROUP INC,COM,011659109,1494000,25000,SH, ,DFND,2014-12-31
19,ALBEMARLE CORP,COM,012653101,25832000,429600,SH, ,DFND,2014-12-31
20,ALCOA INC,COM,013817101,41780000,2646000,SH, ,DFND,2014-12-31
21,ALDER BIOPHARMACEUTICALS INC,COM,014339105,271000,9300,SH, ,DFND,2014-12-31
22,ALERE INC,COM,01449J105,58108000,1529167,SH, ,DFND,2014-12-31
23,ALIGN TECHNOLOGY INC,COM,016255101,3673000,65700,SH, ,DFND,2014-12-31
24,ALLEGION PUB LTD CO,ORD SHS,G0176J109,67243000,1212453,SH, ,DFND,2014-12-31
25,ALLERGAN INC,COM,018490102,4656000,21900,SH, ,DFND,2014-12-31
26,ALLIANCE DATA SYSTEMS CORP,COM,018581108,2689000,9400,SH, ,DFND,2014-12-31
27,ALLY FINL INC,COM,02005N100,41284000,1747850,SH, ,DFND,2014-12-31
28,ALON USA ENERGY INC,COM,020520102,12239000,966000,SH, ,DFND,2014-12-31
29,AMAZON COM INC,COM,023135106,80691000,260000,SH, ,DFND,2014-12-31
30,AMC NETWORKS INC,CL A,00164V103,14642000,229600,SH, ,DFND,2014-12-31
31,AMERICAN AIRLS GROUP INC,COM,02376R102,41939000,782000,SH, ,DFND,2014-12-31
32,AMERICAN AXLE & MFG HLDGS IN,COM,024061103,17054000,754947,SH, ,DFND,2014-12-31
33,AMERICAN EAGLE OUTFITTERS NE,COM,02553E106,1195000,86100,SH, ,DFND,2014-12-31
