,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,HILTON WORLDWIDE HLDGS INC,COM,43300A104,25231000,927600,SH, ,DFND,2016-12-31
1,RESTORATION HARDWARE HLDGS I,COM,761283100,4605000,150000,SH, ,DFND,2016-12-31
2,3M CO,COM,88579Y101,7965000,44605,SH, ,DFND,2016-12-31
3,ABB LTD,SPONSORED ADR,000375204,29854000,1416900,SH, ,DFND,2016-12-31
4,ABBVIE INC,COM,00287Y109,71172000,1136566,SH, ,DFND,2016-12-31
5,ABIOMED INC,COM,003654100,10434000,92600,SH, ,DFND,2016-12-31
6,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,14753000,445700,SH, ,DFND,2016-12-31
7,ACADIA PHARMACEUTICALS INC,COM,004225108,35329000,1225000,SH, ,DFND,2016-12-31
8,ACCURAY INC,COM,004397105,565000,122800,SH, ,DFND,2016-12-31
9,ACHAOGEN INC,COM,004449104,8566000,657900,SH, ,DFND,2016-12-31
10,ACTUANT CORP,CL A NEW,00508X203,1082000,41700,SH, ,DFND,2016-12-31
11,ACUITY BRANDS INC,COM,00508Y102,50027000,216700,SH, ,DFND,2016-12-31
12,ADAMAS PHARMACEUTICALS INC,COM,00548A106,2779000,164450,SH, ,DFND,2016-12-31
13,ADIENT PLC,ORD SHS,G0084W101,5521000,94210,SH, ,DFND,2016-12-31
14,ADOBE SYS INC,COM,00724F101,6990000,67900,SH, ,DFND,2016-12-31
15,ADVANCE AUTO PARTS INC,COM,00751Y106,172130000,1017800,SH, ,DFND,2016-12-31
16,ADVANTAGE OIL & GAS LTD,COM,00765F101,4410000,650000,SH, ,DFND,2016-12-31
17,AETNA INC NEW,COM,00817Y108,15559000,125469,SH, ,DFND,2016-12-31
18,AGCO CORP,COM,001084102,17670000,305400,SH, ,DFND,2016-12-31
19,AGENUS INC,COM NEW,00847G705,129000,31400,SH, ,DFND,2016-12-31
20,AGILENT TECHNOLOGIES INC,COM,00846U101,16871000,370300,SH, ,DFND,2016-12-31
21,AGIOS PHARMACEUTICALS INC,COM,00847X104,4173000,100000,SH, ,DFND,2016-12-31
22,AIMMUNE THERAPEUTICS INC,COM,00900T107,8337000,407700,SH, ,DFND,2016-12-31
23,AIR PRODS & CHEMS INC,COM,009158106,99969000,695100,SH, ,DFND,2016-12-31
24,AK STL HLDG CORP,COM,001547108,16209000,1587544,SH, ,DFND,2016-12-31
25,AKAMAI TECHNOLOGIES INC,COM,00971T101,3521000,52800,SH, ,DFND,2016-12-31
26,AKORN INC,COM,009728106,6881000,315200,SH, ,DFND,2016-12-31
27,ALASKA AIR GROUP INC,COM,011659109,12937000,145800,SH, ,DFND,2016-12-31
28,ALBEMARLE CORP,COM,012653101,12705000,147600,SH, ,DFND,2016-12-31
29,ALEXION PHARMACEUTICALS INC,COM,015351109,48720000,398200,SH, ,DFND,2016-12-31
30,ALIGN TECHNOLOGY INC,COM,016255101,769000,8000,SH, ,DFND,2016-12-31
31,ALKERMES PLC,SHS,G01767105,4691000,84400,SH, ,DFND,2016-12-31
32,ALLEGION PUB LTD CO,ORD SHS,G0176J109,4672000,73000,SH, ,DFND,2016-12-31
33,ALLERGAN PLC,SHS,G0177J108,17662000,84101,SH, ,DFND,2016-12-31
34,ALLIANCE DATA SYSTEMS CORP,COM,018581108,3747000,16400,SH, ,DFND,2016-12-31
35,ALLIED WRLD ASSUR COM HLDG A,SHS,H01531104,7100000,132200,SH, ,DFND,2016-12-31
36,ALLISON TRANSMISSION HLDGS I,COM,01973R101,4009000,119000,SH, ,DFND,2016-12-31
37,ALLSTATE CORP,COM,020002101,10147000,136900,SH, ,DFND,2016-12-31
