,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,500 COM LTD,SPON ADR REP A,33829R100,5170000,208400,SH, ,DFND,2015-06-30
1,8POINT3 ENERGY PARTNERS LP,CL A RPT LTDPT,282539105,6933000,372319,SH, ,DFND,2015-06-30
2,AAC HLDGS INC,COM,000307108,4260000,97800,SH, ,DFND,2015-06-30
3,AAR CORP,COM,000361105,8548000,268200,SH, ,DFND,2015-06-30
4,AARONS INC,COM PAR $0.50,002535300,12583000,347500,SH, ,DFND,2015-06-30
5,ABAXIS INC,COM,002567105,144000,2800,SH, ,DFND,2015-06-30
6,ABBVIE INC,COM,00287Y109,83685000,1245500,SH, ,DFND,2015-06-30
7,ABENGOA YIELD PLC,ORD SHS,G00349103,1024000,32700,SH, ,DFND,2015-06-30
8,ABIOMED INC,COM,003654100,6902000,105000,SH, ,DFND,2015-06-30
9,ACADIA PHARMACEUTICALS INC,COM,004225108,56423000,1347256,SH, ,DFND,2015-06-30
10,ACCO BRANDS CORP,COM,00081T108,10760000,1384800,SH, ,DFND,2015-06-30
11,ACHAOGEN INC,COM,004449104,1459000,242039,SH, ,DFND,2015-06-30
12,ACHILLION PHARMACEUTICALS IN,COM,00448Q201,74319000,8388200,SH, ,DFND,2015-06-30
13,ACTIVISION BLIZZARD INC,COM,00507V109,2273000,93900,SH, ,DFND,2015-06-30
14,ADAMAS PHARMACEUTICALS INC,COM,00548A106,708000,27000,SH, ,DFND,2015-06-30
15,ADEPTUS HEALTH INC,CL A,006855100,5946000,62600,SH, ,DFND,2015-06-30
16,ADURO BIOTECH INC,COM,00739L101,15379000,507072,SH, ,DFND,2015-06-30
17,ADVANCE AUTO PARTS INC,COM,00751Y106,13842000,86901,SH, ,DFND,2015-06-30
18,ADVANTAGE OIL & GAS LTD,COM,00765F101,2530000,400000,SH, ,DFND,2015-06-30
19,ADVISORY BRD CO,COM,00762W107,4111000,75200,SH, ,DFND,2015-06-30
20,AERCAP HOLDINGS NV,SHS,N00985106,30460000,665200,SH, ,DFND,2015-06-30
21,AETNA INC NEW,COM,00817Y108,62672000,491700,SH, ,DFND,2015-06-30
22,AGCO CORP,COM,001084102,1420000,25005,SH, ,DFND,2015-06-30
23,AGNICO EAGLE MINES LTD,COM,008474108,5044000,177800,SH, ,DFND,2015-06-30
24,AGRIUM INC,COM,008916108,23665000,223360,SH, ,DFND,2015-06-30
25,AIR LEASE CORP,CL A,00912X302,8689000,256300,SH, ,DFND,2015-06-30
26,AIR METHODS CORP,COM PAR $.06,009128307,5180000,125300,SH, ,DFND,2015-06-30
27,AIR PRODS & CHEMS INC,COM,009158106,24985000,182600,SH, ,DFND,2015-06-30
28,AIRGAS INC,PUT,009363102,2116000,20000,SH,Put,DFND,2015-06-30
29,AK STL HLDG CORP,COM,001547108,4074000,1052600,SH, ,DFND,2015-06-30
30,AKORN INC,COM,009728106,21175000,485000,SH, ,DFND,2015-06-30
31,ALASKA AIR GROUP INC,COM,011659109,2577000,40000,SH, ,DFND,2015-06-30
32,ALBANY MOLECULAR RESH INC,COM,012423109,3739000,184900,SH, ,DFND,2015-06-30
33,ALBEMARLE CORP,COM,012653101,9534000,172500,SH, ,DFND,2015-06-30
34,ALDER BIOPHARMACEUTICALS INC,COM,014339105,43404000,819400,SH, ,DFND,2015-06-30
35,ALERE INC,COM,01449J105,36424000,690500,SH, ,DFND,2015-06-30
36,ALIBABA GROUP HLDG LTD,CALL,01609W102,6170000,75000,SH,Call,DFND,2015-06-30
37,ALIBABA GROUP HLDG LTD,PUT,01609W102,5759000,70000,SH,Put,DFND,2015-06-30
38,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,34619000,420800,SH, ,DFND,2015-06-30
