,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,3M CO,COM,88579Y101,2690000,15361,SH, ,DFND,2016-06-30
1,AAC HLDGS INC,COM,000307108,1529000,67000,SH, ,DFND,2016-06-30
2,AARONS INC,COM PAR $0.50,002535300,2964000,135400,SH, ,DFND,2016-06-30
3,ABERCROMBIE & FITCH CO,CL A,002896207,32000,1800,SH, ,DFND,2016-06-30
4,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,12925000,233300,SH, ,DFND,2016-06-30
5,ACADIA PHARMACEUTICALS INC,COM,004225108,38942000,1199700,SH, ,DFND,2016-06-30
6,ACCURAY INC,COM,004397105,571000,110100,SH, ,DFND,2016-06-30
7,ACHAOGEN INC,COM,004449104,3373000,890000,SH, ,DFND,2016-06-30
8,ACHILLION PHARMACEUTICALS IN,COM,00448Q201,70103000,8987615,SH, ,DFND,2016-06-30
9,ACORDA THERAPEUTICS INC,COM,00484M106,1928000,75600,SH, ,DFND,2016-06-30
10,ACTIVISION BLIZZARD INC,COM,00507V109,33242000,838800,SH, ,DFND,2016-06-30
11,ADAMAS PHARMACEUTICALS INC,COM,00548A106,2176000,143700,SH, ,DFND,2016-06-30
12,ADOBE SYS INC,COM,00724F101,96000,1000,SH, ,DFND,2016-06-30
13,ADTRAN INC,COM,00738A106,3463000,185700,SH, ,DFND,2016-06-30
14,ADVANCE AUTO PARTS INC,COM,00751Y106,110749000,685200,SH, ,DFND,2016-06-30
15,ADVANCED SEMICONDUCTOR ENGR,SPONSORED ADR,00756M404,1178000,211200,SH, ,DFND,2016-06-30
16,ADVANTAGE OIL & GAS LTD,COM,00765F101,15539000,2790000,SH, ,DFND,2016-06-30
17,AERCAP HOLDINGS NV,SHS,N00985106,7504000,223400,SH, ,DFND,2016-06-30
18,AFFILIATED MANAGERS GROUP,COM,008252108,24128000,171400,SH, ,DFND,2016-06-30
19,AGILENT TECHNOLOGIES INC,COM,00846U101,2311000,52100,SH, ,DFND,2016-06-30
20,AGNICO EAGLE MINES LTD,COM,008474108,3344000,62500,SH, ,DFND,2016-06-30
21,AIR LEASE CORP,CL A,00912X302,10658000,398000,SH, ,DFND,2016-06-30
22,AIR PRODS & CHEMS INC,COM,009158106,52809000,371788,SH, ,DFND,2016-06-30
23,AKAMAI TECHNOLOGIES INC,COM,00971T101,4385000,78400,SH, ,DFND,2016-06-30
24,AKORN INC,COM,009728106,3435000,120600,SH, ,DFND,2016-06-30
25,ALASKA AIR GROUP INC,COM,011659109,27175000,466200,SH, ,DFND,2016-06-30
26,ALBEMARLE CORP,COM,012653101,3506000,44201,SH, ,DFND,2016-06-30
