,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,21VIANET GROUP INC,SPONSORED ADR,90138A103,1099000,127150,SH, ,DFND,2018-12-31
1,8X8 INC NEW,COM,282914100,31725000,1758600,SH, ,DFND,2018-12-31
2,ABBOTT LABS,COM,002824100,26277000,363300,SH, ,DFND,2018-12-31
3,ABERCROMBIE & FITCH CO,CL A,002896207,3778000,188422,SH, ,DFND,2018-12-31
4,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,7003000,272400,SH, ,DFND,2018-12-31
5,ACADIA PHARMACEUTICALS INC,COM,004225108,36328000,2246600,SH, ,DFND,2018-12-31
6,ACCELERON PHARMA INC,COM,00434H108,32449000,745100,SH, ,DFND,2018-12-31
7,ACHAOGEN INC,COM,004449104,116000,94119,SH, ,DFND,2018-12-31
8,ACHILLION PHARMACEUTICALS IN,COM,00448Q201,313000,196740,SH, ,DFND,2018-12-31
9,ACTIVISION BLIZZARD INC,COM,00507V109,25918000,556548,SH, ,DFND,2018-12-31
10,ACUITY BRANDS INC,COM,00508Y102,7863000,68400,SH, ,DFND,2018-12-31
11,ADAMAS PHARMACEUTICALS INC,COM,00548A106,21917000,2566386,SH, ,DFND,2018-12-31
12,ADDUS HOMECARE CORP,COM,006739106,3531000,52012,SH, ,DFND,2018-12-31
13,ADECOAGRO S A,COM,L00849106,18567000,2667700,SH, ,DFND,2018-12-31
14,ADOBE INC,COM,00724F101,131199000,579911,SH, ,DFND,2018-12-31
15,ADVANCE AUTO PARTS INC,COM,00751Y106,23234000,147552,SH, ,DFND,2018-12-31
16,ADVANCED MICRO DEVICES INC,COM,007903107,29217000,1582732,SH, ,DFND,2018-12-31
17,ADVERUM BIOTECHNOLOGIES INC,COM,00773U108,479000,151940,SH, ,DFND,2018-12-31
18,AFLAC INC,COM,001055102,1850000,40600,SH, ,DFND,2018-12-31
19,AGCO CORP,COM,001084102,7515000,135000,SH,Call,DFND,2018-12-31
20,AGILENT TECHNOLOGIES INC,COM,00846U101,35423000,525100,SH, ,DFND,2018-12-31
21,AGIOS PHARMACEUTICALS INC,COM,00847X104,7147000,155000,SH, ,DFND,2018-12-31
22,AIMMUNE THERAPEUTICS INC,COM,00900T107,14674000,613461,SH, ,DFND,2018-12-31
23,AIR LEASE CORP,CL A,00912X302,6194000,205033,SH, ,DFND,2018-12-31
24,AKEBIA THERAPEUTICS INC,COM,00972D105,2789000,504373,SH, ,DFND,2018-12-31
25,AKORN INC,COM,009728106,7573000,2233960,SH, ,DFND,2018-12-31
26,ALARM COM HLDGS INC,COM,011642105,887000,17100,SH, ,DFND,2018-12-31
27,ALASKA AIR GROUP INC,COM,011659109,19405000,318900,SH, ,DFND,2018-12-31
28,ALBEMARLE CORP,COM,012653101,2086000,27065,SH, ,DFND,2018-12-31
29,ALBIREO PHARMA INC,COM,01345P106,336000,13700,SH, ,DFND,2018-12-31
30,ALDER BIOPHARMACEUTICALS INC,COM,014339105,4618000,450500,SH, ,DFND,2018-12-31
31,ALEXION PHARMACEUTICALS INC,COM,015351109,75049000,770836,SH, ,DFND,2018-12-31
32,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,214356000,1563843,SH, ,DFND,2018-12-31
33,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,137070000,1000000,SH,Call,DFND,2018-12-31
34,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,164484000,1200000,SH,Put,DFND,2018-12-31
35,ALKERMES PLC,SHS,G01767105,10851000,367700,SH, ,DFND,2018-12-31
36,ALLEGHENY TECHNOLOGIES INC,COM,01741R102,4596000,211102,SH, ,DFND,2018-12-31
37,ALLEGIANT TRAVEL CO,COM,01748X102,5682000,56700,SH, ,DFND,2018-12-31
38,ALLEGION PUB LTD CO,ORD SHS,G0176J109,1034000,12968,SH, ,DFND,2018-12-31
39,ALLERGAN PLC,SHS,G0177J108,85152000,637076,SH, ,DFND,2018-12-31
40,ALLERGAN PLC,SHS,G0177J108,33415000,250000,SH,Call,DFND,2018-12-31
41,ALLIANCE DATA SYSTEMS CORP,COM,018581108,20449000,136253,SH, ,DFND,2018-12-31
42,ALLIANCE DATA SYSTEMS CORP,COM,018581108,3002000,20000,SH,Call,DFND,2018-12-31
43,ALLSTATE CORP,COM,020002101,2975000,36000,SH, ,DFND,2018-12-31
44,ALPHABET INC,CAP STK CL A,02079K305,234738000,224638,SH, ,DFND,2018-12-31
45,ALPHABET INC,CAP STK CL A,02079K305,60085000,57500,SH,Call,DFND,2018-12-31
46,ALPHABET INC,CAP STK CL C,02079K107,40286000,38901,SH, ,DFND,2018-12-31
47,ALTA MESA RES INC,CL A,02133L109,6700000,6700000,SH, ,DFND,2018-12-31
48,ALTICE USA INC,CL A,02156K103,48168000,2915735,SH, ,DFND,2018-12-31
49,AMARIN CORP PLC,SPONS ADR NEW,023111206,88995000,6538919,SH, ,DFND,2018-12-31
50,AMAZON COM INC,COM,023135106,157361000,104770,SH, ,DFND,2018-12-31
51,AMAZON COM INC,COM,023135106,82608000,55000,SH,Call,DFND,2018-12-31
52,AMC ENTMT HLDGS INC,CL A COM,00165C104,2579000,210000,SH,Put,DFND,2018-12-31
53,AMERICAN AXLE & MFG HLDGS IN,COM,024061103,4328000,389900,SH, ,DFND,2018-12-31
54,AMERICAN EAGLE OUTFITTERS NE,COM,02553E106,748000,38679,SH, ,DFND,2018-12-31
55,AMERICAN FINL GROUP INC OHIO,COM,025932104,3075000,33970,SH, ,DFND,2018-12-31
56,AMERICAN INTL GROUP INC,COM NEW,026874784,14523000,368500,SH, ,DFND,2018-12-31
57,AMERICAN TOWER CORP NEW,COM,03027X100,102824000,650000,SH,Put,DFND,2018-12-31
58,AMERICOLD RLTY TR,COM,03064D108,4169000,163227,SH, ,DFND,2018-12-31
59,AMERIPRISE FINL INC,COM,03076C106,198000,1900,SH, ,DFND,2018-12-31
60,AMETEK INC NEW,COM,031100100,59711000,881987,SH, ,DFND,2018-12-31
61,AMICUS THERAPEUTICS INC,COM,03152W109,36410000,3800585,SH, ,DFND,2018-12-31
62,ANADARKO PETE CORP,COM,032511107,80981000,1847200,SH, ,DFND,2018-12-31
63,ANSYS INC,COM,03662Q105,22013000,154000,SH, ,DFND,2018-12-31
64,ANTERO MIDSTREAM GP LP,COM SHS REPSTG,03675Y103,1493000,133561,SH, ,DFND,2018-12-31
65,ANTHEM INC,COM,036752103,11852000,45127,SH, ,DFND,2018-12-31
66,AON PLC,SHS CL A,G0408V102,23300000,160294,SH, ,DFND,2018-12-31
67,APACHE CORP,COM,037411105,26775000,1020000,SH, ,DFND,2018-12-31
68,APELLIS PHARMACEUTICALS INC,COM,03753U106,1464000,111016,SH, ,DFND,2018-12-31
69,APPLE INC,COM,037833100,1280000,8115,SH, ,DFND,2018-12-31
70,APPLIED GENETIC TECHNOL CORP,COM,03820J100,420000,168703,SH, ,DFND,2018-12-31
71,APPLIED MATLS INC,COM,038222105,48364000,1477200,SH, ,DFND,2018-12-31
72,APPLIED OPTOELECTRONICS INC,COM,03823U102,3472000,225000,SH, ,DFND,2018-12-31
73,APTINYX INC,COM,03836N103,7337000,443595,SH, ,DFND,2018-12-31
74,ARAMARK,COM,03852U106,2219000,76600,SH, ,DFND,2018-12-31
75,ARAMARK,COM,03852U106,47801000,1650000,SH,Call,DFND,2018-12-31
76,ARBOR RLTY TR INC,COM,038923108,917000,91090,SH, ,DFND,2018-12-31
77,ARCH COAL INC,CL A,039380407,5184000,62460,SH, ,DFND,2018-12-31
78,ARCHER DANIELS MIDLAND CO,COM,039483102,10243000,250000,SH,Call,DFND,2018-12-31
79,ARCONIC INC,COM,03965L100,1556000,92300,SH, ,DFND,2018-12-31
80,ARCOSA INC,COM,039653100,771000,27861,SH, ,DFND,2018-12-31
81,ARENA PHARMACEUTICALS INC,COM NEW,040047607,10715000,275100,SH, ,DFND,2018-12-31
82,ARES CAP CORP,COM,04010L103,244000,15648,SH, ,DFND,2018-12-31
83,ARES MANAGEMENT CORPORATION,CL A COM STK,03990B101,17826000,1002600,SH, ,DFND,2018-12-31
84,ARGENX SE,SPONSORED ADR,04016X101,5562000,57900,SH, ,DFND,2018-12-31
85,ARMOUR RESIDENTIAL REIT INC,COM NEW,042315507,547000,26698,SH, ,DFND,2018-12-31
86,ARMSTRONG WORLD INDS INC NEW,COM,04247X102,4942000,84900,SH, ,DFND,2018-12-31
87,ARRAY BIOPHARMA INC,COM,04269X105,93184000,6539222,SH, ,DFND,2018-12-31
88,ARRAY BIOPHARMA INC,COM,04269X105,7125000,500000,SH,Call,DFND,2018-12-31
89,ASHLAND GLOBAL HLDGS INC,COM,044186104,2675000,37700,SH, ,DFND,2018-12-31
90,ASPEN TECHNOLOGY INC,COM,045327103,15392000,187300,SH, ,DFND,2018-12-31
91,ASSURANT INC,COM,04621X108,2415000,27000,SH, ,DFND,2018-12-31
92,ASTRAZENECA PLC,SPONSORED ADR,046353108,18707000,492558,SH, ,DFND,2018-12-31
93,AT HOME GROUP INC,COM,04650Y100,1853000,99300,SH, ,DFND,2018-12-31
94,AT&T INC,COM,00206R102,3225000,113000,SH,Call,DFND,2018-12-31
95,ATARA BIOTHERAPEUTICS INC,COM,046513107,19215000,553100,SH, ,DFND,2018-12-31
96,ATHENE HLDG LTD,CL A,G0684D107,15797000,396618,SH, ,DFND,2018-12-31
97,ATMOS ENERGY CORP,COM,049560105,6527000,70400,SH, ,DFND,2018-12-31
98,AUDENTES THERAPEUTICS INC,COM,05070R104,9849000,461980,SH, ,DFND,2018-12-31
99,AUTOMATIC DATA PROCESSING IN,COM,053015103,49170000,375000,SH, ,DFND,2018-12-31
100,AUTOMATIC DATA PROCESSING IN,COM,053015103,157344000,1200000,SH,Call,DFND,2018-12-31
101,AUTONATION INC,COM,05329W102,1582000,44300,SH, ,DFND,2018-12-31
102,AUTOZONE INC,COM,053332102,17354000,20700,SH, ,DFND,2018-12-31
103,AVANOS MED INC,COM,05350V106,3284000,73310,SH, ,DFND,2018-12-31
104,AVAYA HLDGS CORP,COM,05351X101,26667000,1831502,SH, ,DFND,2018-12-31
105,AVERY DENNISON CORP,COM,053611109,48377000,538539,SH, ,DFND,2018-12-31
106,AVISTA CORP,COM,05379B107,6266000,147500,SH, ,DFND,2018-12-31
