,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,10X GENOMICS INC,CL A COM,88025U109,12104000,97077,SH, ,DFND,2020-09-30
1,21VIANET GROUP INC,SPONSORED ADS A,90138A103,38182000,1648638,SH, ,DFND,2020-09-30
2,360 DIGITECH INC,AMERICAN DEP,88557W101,830000,69497,SH, ,DFND,2020-09-30
3,89BIO INC,COM,282559103,1423000,55456,SH, ,DFND,2020-09-30
4,AAON INC,COM PAR $0.004,000360206,454000,7531,SH, ,DFND,2020-09-30
5,AARONS INC,COM PAR $0.50,002535300,19987000,352812,SH, ,DFND,2020-09-30
6,ABBOTT LABS,COM,002824100,17970000,165120,SH, ,DFND,2020-09-30
7,ABBVIE INC,COM,00287Y109,7655000,87401,SH, ,DFND,2020-09-30
8,ABERCROMBIE & FITCH CO,CL A,002896207,1530000,109840,SH, ,DFND,2020-09-30
9,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,38410000,1302924,SH, ,DFND,2020-09-30
10,ACADIA PHARMACEUTICALS INC,COM,004225108,23851000,578195,SH, ,DFND,2020-09-30
11,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,13539000,59909,SH, ,DFND,2020-09-30
12,ACORDA THERAPEUTICS INC,COM,00484M106,1030000,2000000,SH, ,DFND,2020-09-30
13,ACTIVISION BLIZZARD INC,COM,00507V109,108960000,1346010,SH, ,DFND,2020-09-30
14,ACUSHNET HOLDINGS CORP,COM,005098108,7060000,210053,SH, ,DFND,2020-09-30
15,ADDUS HOMECARE CORP,COM,006739106,3841000,40638,SH, ,DFND,2020-09-30
16,ADIENT PLC,ORD SHS,G0084W101,957000,55200,SH, ,DFND,2020-09-30
17,ADURO BIOTECH INC,COM,00739L101,4982000,2050000,SH, ,DFND,2020-09-30
18,ADVANCE AUTO PARTS INC,COM,00751Y106,54099000,352435,SH, ,DFND,2020-09-30
19,ADVANCED ENERGY INDS,COM,007973100,1127000,17900,SH, ,DFND,2020-09-30
20,ADVANCED MICRO DEVICES INC,COM,007903107,108613000,1324712,SH, ,DFND,2020-09-30
21,AERCAP HOLDINGS NV,SHS,N00985106,847000,33623,SH, ,DFND,2020-09-30
22,AERIE PHARMACEUTICALS INC,COM,00771V108,2160000,183512,SH, ,DFND,2020-09-30
23,AES CORP,COM,00130H105,12332000,680946,SH, ,DFND,2020-09-30
24,AFFIMED N V,COM,N01045108,6780000,2000000,SH, ,DFND,2020-09-30
25,AGIOS PHARMACEUTICALS INC,COM,00847X104,16725000,477852,SH, ,DFND,2020-09-30
26,AGNC INVT CORP,COM,00123Q104,1429000,102732,SH, ,DFND,2020-09-30
27,AIR PRODS & CHEMS INC,COM,009158106,30812000,103443,SH, ,DFND,2020-09-30
28,AKERO THERAPEUTICS INC,COM,00973Y108,4407000,143139,SH, ,DFND,2020-09-30
29,ALASKA AIR GROUP INC,COM,011659109,4008000,109405,SH, ,DFND,2020-09-30
30,ALBEMARLE CORP,COM,012653101,1378000,15429,SH, ,DFND,2020-09-30
31,ALDEYRA THERAPEUTICS INC,COM,01438T106,4757000,641918,SH, ,DFND,2020-09-30
32,ALEXION PHARMACEUTICALS INC,COM,015351109,156408000,1366848,SH, ,DFND,2020-09-30
33,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,413413000,1406261,SH, ,DFND,2020-09-30
34,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,38805000,132000,SH,Call,DFND,2020-09-30
35,ALIGN TECHNOLOGY INC,COM,016255101,18014000,55029,SH, ,DFND,2020-09-30
36,ALKERMES PLC,SHS,G01767105,22269000,1343911,SH, ,DFND,2020-09-30
37,ALLEGHANY CORP DEL,COM,017175100,3175000,6100,SH, ,DFND,2020-09-30
38,ALLETE INC,COM NEW,018522300,1630000,31500,SH, ,DFND,2020-09-30
39,ALLIANCE DATA SYSTEMS CORP,COM,018581108,25018000,595943,SH, ,DFND,2020-09-30
40,ALLIANT ENERGY CORP,COM,018802108,2257000,43700,SH, ,DFND,2020-09-30
41,ALLY FINL INC,COM,02005N100,33784000,1347572,SH, ,DFND,2020-09-30
42,ALPHABET INC,CAP STK CL A,02079K305,298716000,203818,SH, ,DFND,2020-09-30
43,ALPHABET INC,CAP STK CL A,02079K305,14656000,10000,SH,Call,DFND,2020-09-30
44,ALPHABET INC,CAP STK CL C,02079K107,13216000,8993,SH, ,DFND,2020-09-30
45,ALTICE USA INC,CL A,02156K103,11330000,435751,SH, ,DFND,2020-09-30
46,AMARIN CORP PLC,SPONS ADR NEW,023111206,4454000,1058019,SH, ,DFND,2020-09-30
47,AMAZON COM INC,COM,023135106,495084000,157233,SH, ,DFND,2020-09-30
48,AMAZON COM INC,COM,023135106,47231000,15000,SH,Call,DFND,2020-09-30
49,AMBARELLA INC,SHS,G037AX101,444000,8518,SH, ,DFND,2020-09-30
50,AMC NETWORKS INC,CL A,00164V103,8015000,324367,SH, ,DFND,2020-09-30
51,AMEDISYS INC,COM,023436108,14649000,61960,SH, ,DFND,2020-09-30
52,AMERICAN AIRLS GROUP INC,COM,02376R102,2458000,200000,SH,Put,DFND,2020-09-30
53,AMERICAN EAGLE OUTFITTERS IN,COM,02553E106,44599000,3011428,SH, ,DFND,2020-09-30
54,AMERICAN EAGLE OUTFITTERS IN,COM,02553E106,5429000,366600,SH,Call,DFND,2020-09-30
55,AMERICAN FINL GROUP INC OHIO,COM,025932104,3985000,59500,SH, ,DFND,2020-09-30
56,AMERICAN TOWER CORP NEW,COM,03027X100,13922000,57592,SH, ,DFND,2020-09-30
57,AMERICOLD RLTY TR,COM,03064D108,887000,24800,SH, ,DFND,2020-09-30
58,AMETEK INC,COM,031100100,62339000,627154,SH, ,DFND,2020-09-30
59,AMICUS THERAPEUTICS INC,COM,03152W109,21760000,1541042,SH, ,DFND,2020-09-30
60,AMPHENOL CORP NEW,CL A,032095101,35938000,331931,SH, ,DFND,2020-09-30
61,ANALOG DEVICES INC,COM,032654105,9071000,77704,SH, ,DFND,2020-09-30
62,ANAPLAN INC,COM,03272L108,844000,13492,SH, ,DFND,2020-09-30
63,ANGI HOMESERVICES INC,COM CL A,00183L102,33289000,3000363,SH, ,DFND,2020-09-30
64,ANNALY CAPITAL MANAGEMENT IN,COM,035710409,3154000,442943,SH, ,DFND,2020-09-30
65,ANTERIX INC,COM,03676C100,1086000,33200,SH, ,DFND,2020-09-30
66,ANTERO RESOURCES CORP,COM,03674X106,3874000,1408777,SH, ,DFND,2020-09-30
67,ANTHEM INC,COM,036752103,14584000,54300,SH, ,DFND,2020-09-30
68,ANTHEM INC,COM,036752103,26859000,100000,SH,Call,DFND,2020-09-30
69,AON PLC,SHS CL A,G0403H108,37485000,181702,SH, ,DFND,2020-09-30
70,APACHE CORP,COM,037411105,22723000,2399499,SH, ,DFND,2020-09-30
71,APELLIS PHARMACEUTICALS INC,COM,03753U106,13484000,446936,SH, ,DFND,2020-09-30
72,API GROUP CORP,COM STK,00187Y100,6261000,439957,SH, ,DFND,2020-09-30
73,APOLLO GLOBAL MGMT INC,COM CL A,03768E105,828000,18500,SH, ,DFND,2020-09-30
74,APPLIED MATLS INC,COM,038222105,58832000,989597,SH, ,DFND,2020-09-30
75,APPLIED THERAPEUTICS INC,COM,03828A101,2525000,121614,SH, ,DFND,2020-09-30
76,APREA THERAPEUTICS INC,COM,03836J102,3055000,126978,SH, ,DFND,2020-09-30
77,APTOSE BIOSCIENCES INC,COM NEW,03835T200,12400000,2066675,SH, ,DFND,2020-09-30
78,ARAMARK,COM,03852U106,6858000,259300,SH, ,DFND,2020-09-30
79,ARCELORMITTAL SA LUXEMBOURG,NY REGISTRY SH,03938L203,17837000,1346202,SH, ,DFND,2020-09-30
80,ARCH CAP GROUP LTD,ORD,G0450A105,142536000,4873022,SH, ,DFND,2020-09-30
81,ARCUS BIOSCIENCES INC,COM,03969F109,3325000,194001,SH, ,DFND,2020-09-30
82,ARCUTIS BIOTHERAPEUTICS INC,COM,03969K108,1267000,43256,SH, ,DFND,2020-09-30
83,ARDELYX INC,COM,039697107,384000,73091,SH, ,DFND,2020-09-30
84,ARENA PHARMACEUTICALS INC,COM NEW,040047607,97974000,1309986,SH, ,DFND,2020-09-30
85,ARROW ELECTRS INC,COM,042735100,22937000,291601,SH, ,DFND,2020-09-30
86,ARROWHEAD PHARMACEUTICALS IN,COM,04280A100,57395000,1332899,SH, ,DFND,2020-09-30
87,ARTISAN PARTNERS ASSET MGMT,CL A,04316A108,954000,24476,SH, ,DFND,2020-09-30
88,ARVINAS INC,COM,04335A105,1495000,63325,SH, ,DFND,2020-09-30
89,ARYA SCIENCES ACQUISTION CO,UNIT 06/09/2027,G31655114,7425000,675000,SH, ,DFND,2020-09-30
90,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,6121000,16577,SH, ,DFND,2020-09-30
91,ASSETMARK FINL HLDGS INC,COM,04546L106,335000,15400,SH, ,DFND,2020-09-30
92,ASSURANT INC,COM,04621X108,12846000,105894,SH, ,DFND,2020-09-30
93,ASTRAZENECA PLC,SPONSORED ADR,046353108,26550000,484482,SH, ,DFND,2020-09-30
94,AT HOME GROUP INC,COM,04650Y100,6362000,428151,SH, ,DFND,2020-09-30
95,ATHENEX INC,COM,04685N103,3275000,270636,SH, ,DFND,2020-09-30
96,ATLAS AIR WORLDWIDE HLDGS IN,COM NEW,049164205,6555000,107641,SH, ,DFND,2020-09-30
97,AURINIA PHARMACEUTICALS INC,COM,05156V102,34523000,2343751,SH, ,DFND,2020-09-30
98,AUTOHOME INC,SP ADR RP CL A,05278C107,1118000,11641,SH, ,DFND,2020-09-30
99,AUTOLIV INC,COM,052800109,6267000,85989,SH, ,DFND,2020-09-30
100,AUTOZONE INC,COM,053332102,45857000,38940,SH, ,DFND,2020-09-30
101,AVANTOR INC,COM,05352A100,71048000,3159079,SH, ,DFND,2020-09-30
102,AVAYA HLDGS CORP,COM,05351X101,40223000,2646245,SH, ,DFND,2020-09-30
103,AVERY DENNISON CORP,COM,053611109,38066000,297759,SH, ,DFND,2020-09-30
104,AVIS BUDGET GROUP,COM,053774105,121000,4612,SH, ,DFND,2020-09-30
105,AXONICS MODULATION TECHNOLOG,COM,05465P101,27093000,530819,SH, ,DFND,2020-09-30
106,AXSOME THERAPEUTICS INC,COM,05464T104,6459000,90657,SH, ,DFND,2020-09-30
107,AZUL S A,SPONSR ADR PFD,05501U106,1078000,81900,SH, ,DFND,2020-09-30
108,AZURE PWR GLOBAL LTD,SHS,V0393H103,369000,12368,SH, ,DFND,2020-09-30
109,BAKER HUGHES COMPANY,CL A,05722G100,26542000,1997135,SH, ,DFND,2020-09-30
110,BALLARD PWR SYS INC NEW,COM,058586108,3483000,230640,SH, ,DFND,2020-09-30
111,BANDWIDTH INC,COM CL A,05988J103,45263000,259284,SH, ,DFND,2020-09-30
112,BANK NEW YORK MELLON CORP,COM,064058100,1213000,35311,SH, ,DFND,2020-09-30
113,BANK OZK,COM,06417N103,229000,10742,SH, ,DFND,2020-09-30
114,BARCLAYS BANK PLC,IPTH SR B S&P,06746P621,4980000,200000,SH,Put,DFND,2020-09-30
115,BAUSCH HEALTH COS INC,COM,071734107,59507000,3829257,SH, ,DFND,2020-09-30
116,BAXTER INTL INC,COM,071813109,3548000,44124,SH, ,DFND,2020-09-30
117,BEAM THERAPEUTICS INC,COM,07373V105,6116000,248417,SH, ,DFND,2020-09-30
118,BELDEN INC,COM,077454106,18498000,594396,SH, ,DFND,2020-09-30
119,BENTLEY SYS INC,COM CL B,08265T208,1256000,40000,SH, ,DFND,2020-09-30
120,BERKLEY W R CORP,COM,084423102,29614000,484278,SH, ,DFND,2020-09-30
121,BERRY GLOBAL GROUP INC,COM,08579W103,9013000,186531,SH, ,DFND,2020-09-30
