,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,ABBOTT LABS,COM,002824100,25657000,606700,SH, ,DFND,2016-09-30
1,ABBOTT LABS,COM,002824100,8458000,200000,SH,Call,DFND,2016-09-30
2,AC IMMUNE SA,SHS,H00263105,165000,10000,SH, ,DFND,2016-09-30
3,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,25184000,508247,SH, ,DFND,2016-09-30
4,ACADIA PHARMACEUTICALS INC,COM,004225108,3827000,120300,SH,Call,DFND,2016-09-30
5,ACADIA PHARMACEUTICALS INC,COM,004225108,65894000,2071500,SH, ,DFND,2016-09-30
6,ACCURAY INC,COM,004397105,1491000,234100,SH, ,DFND,2016-09-30
7,ACCURAY INC,COM,004397105,1400000,219800,SH,Call,DFND,2016-09-30
8,ACHAOGEN INC,COM,004449104,4263000,890000,SH, ,DFND,2016-09-30
9,ACHILLION PHARMACEUTICALS IN,COM,00448Q201,57140000,7054346,SH, ,DFND,2016-09-30
10,ACORDA THERAPEUTICS INC,COM,00484M106,2320000,111100,SH, ,DFND,2016-09-30
11,ADAMAS PHARMACEUTICALS INC,COM,00548A106,2142000,130500,SH, ,DFND,2016-09-30
12,ADVANCE AUTO PARTS INC,COM,00751Y106,164414000,1102560,SH, ,DFND,2016-09-30
13,ADVANCEPIERRE FOODS HLDGS IN,COM,00782L107,16572000,601304,SH, ,DFND,2016-09-30
14,ADVANTAGE OIL & GAS LTD,COM,00765F101,5892000,840000,SH, ,DFND,2016-09-30
15,AFFILIATED MANAGERS GROUP,COM,008252108,13153000,90900,SH, ,DFND,2016-09-30
16,AGILENT TECHNOLOGIES INC,COM,00846U101,1582000,33600,SH, ,DFND,2016-09-30
17,AIR LEASE CORP,CL A,00912X302,4913000,171900,SH, ,DFND,2016-09-30
18,AIR PRODS & CHEMS INC,COM,009158106,85694000,570000,SH, ,DFND,2016-09-30
19,AK STL HLDG CORP,COM,001547108,6394000,1323800,SH, ,DFND,2016-09-30
20,AKAMAI TECHNOLOGIES INC,COM,00971T101,350000,6600,SH, ,DFND,2016-09-30
21,ALASKA AIR GROUP INC,COM,011659109,5875000,89200,SH, ,DFND,2016-09-30
22,ALBEMARLE CORP,COM,012653101,4728000,55300,SH, ,DFND,2016-09-30
23,ALERE INC,COM,01449J105,298000,6900,SH, ,DFND,2016-09-30
24,ALEXION PHARMACEUTICALS INC,COM,015351109,74933000,611500,SH, ,DFND,2016-09-30
25,ALIGN TECHNOLOGY INC,COM,016255101,2372000,25300,SH, ,DFND,2016-09-30
26,ALLEGION PUB LTD CO,ORD SHS,G0176J109,42704000,619700,SH, ,DFND,2016-09-30
27,ALLIED WRLD ASSUR COM HLDG A,SHS,H01531104,3832000,94800,SH, ,DFND,2016-09-30
28,ALLISON TRANSMISSION HLDGS I,COM,01973R101,15975000,557000,SH, ,DFND,2016-09-30
29,ALLSCRIPTS HEALTHCARE SOLUTN,COM,01988P108,4582000,347900,SH, ,DFND,2016-09-30
30,ALLSTATE CORP,COM,020002101,3044000,44000,SH, ,DFND,2016-09-30
31,ALLY FINL INC,COM,02005N100,187000,9600,SH, ,DFND,2016-09-30
32,ALON USA ENERGY INC,COM,020520102,17363000,2154200,SH, ,DFND,2016-09-30
33,ALPHABET INC,CAP STK CL A,02079K305,337133000,419288,SH, ,DFND,2016-09-30
34,ALPHABET INC,CAP STK CL C,02079K107,86661000,111491,SH, ,DFND,2016-09-30
35,AMAZON COM INC,COM,023135106,223284000,266668,SH, ,DFND,2016-09-30
36,AMC NETWORKS INC,CL A,00164V103,5253000,101300,SH, ,DFND,2016-09-30
37,AMERICAN AXLE & MFG HLDGS IN,COM,024061103,14409000,836761,SH, ,DFND,2016-09-30
38,AMERICAN ELEC PWR INC,COM,025537101,9015000,140400,SH, ,DFND,2016-09-30
39,AMERICAN EQTY INVT LIFE HLD,COM,025676206,1839000,103705,SH, ,DFND,2016-09-30
40,AMERICAN EXPRESS CO,COM,025816109,6442000,100600,SH, ,DFND,2016-09-30
41,AMETEK INC NEW,COM,031100100,65970000,1380700,SH, ,DFND,2016-09-30
42,AMSURG CORP,COM,03232P405,4533000,67600,SH, ,DFND,2016-09-30
43,ANADARKO PETE CORP,COM,032511107,6336000,100000,SH,Put,DFND,2016-09-30
44,ANADARKO PETE CORP,COM,032511107,175378000,2767957,SH, ,DFND,2016-09-30
45,ANDERSONS INC,COM,034164103,20047000,554100,SH, ,DFND,2016-09-30
46,ANTERO RES CORP,COM,03674X106,786000,29168,SH, ,DFND,2016-09-30
47,ANTHEM INC,COM,036752103,7644000,61000,SH, ,DFND,2016-09-30
48,APACHE CORP,COM,037411105,1916000,30000,SH,Put,DFND,2016-09-30
49,APPLE INC,COM,037833100,123462000,1092100,SH, ,DFND,2016-09-30
50,APPLE INC,COM,037833100,28263000,250000,SH,Call,DFND,2016-09-30
51,ARADIGM CORP,COM NO PAR NEW,038505400,2206000,320585,SH, ,DFND,2016-09-30
52,ARAMARK,COM,03852U106,14668000,385700,SH, ,DFND,2016-09-30
53,ARCH CAP GROUP LTD,ORD,G0450A105,4859000,61300,SH, ,DFND,2016-09-30
54,ARCHROCK INC,COM,03957W106,6072000,464200,SH, ,DFND,2016-09-30
55,ARGO GROUP INTL HLDGS LTD,COM,G0464B107,632000,11200,SH, ,DFND,2016-09-30
56,ARRIS INTL INC,SHS,G0551A103,377000,13300,SH, ,DFND,2016-09-30
57,ARROWHEAD PHARMACEUTICALS IN,COM,04280A100,62000,8500,SH, ,DFND,2016-09-30
58,ASBURY AUTOMOTIVE GROUP INC,COM,043436104,13884000,249400,SH, ,DFND,2016-09-30
59,ATHENAHEALTH INC,COM,04685W103,16345000,129600,SH, ,DFND,2016-09-30
60,AU OPTRONICS CORP,SPONSORED ADR,002255107,1502000,411600,SH, ,DFND,2016-09-30
61,AUTOLIV INC,COM,052800109,1944000,18200,SH, ,DFND,2016-09-30
62,AUTONATION INC,COM,05329W102,26635000,546800,SH, ,DFND,2016-09-30
63,AUTOZONE INC,COM,053332102,57433000,74750,SH, ,DFND,2016-09-30
64,AVERY DENNISON CORP,COM,053611109,1229000,15800,SH, ,DFND,2016-09-30
65,AVNET INC,COM,053807103,8011000,195100,SH, ,DFND,2016-09-30
66,AXALTA COATING SYS LTD,COM,G0750C108,9055000,320300,SH, ,DFND,2016-09-30
67,AXOVANT SCIENCES LTD,COM,G0750W104,9034000,645300,SH, ,DFND,2016-09-30
68,B/E AEROSPACE INC,COM,073302101,2273000,44000,SH, ,DFND,2016-09-30
69,BABCOCK & WILCOX ENTERPRIS I,COM,05614L100,554000,33600,SH, ,DFND,2016-09-30
70,BAIDU INC,SPON ADR REP A,056752108,3641000,20000,SH, ,DFND,2016-09-30
71,BAKER HUGHES INC,COM,057224107,1514000,30000,SH, ,DFND,2016-09-30
72,BANK AMER CORP,COM,060505104,16562000,1058300,SH, ,DFND,2016-09-30
73,BANK NEW YORK MELLON CORP,COM,064058100,21774000,546000,SH, ,DFND,2016-09-30
