,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,8X8 INC NEW,COM,282914100,21179000,996675,SH, ,DFND,2018-09-30
1,ABBOTT LABS,COM,002824100,829000,11300,SH, ,DFND,2018-09-30
2,ABBVIE INC,COM,00287Y109,17772000,187900,SH,Put,DFND,2018-09-30
3,ABERCROMBIE & FITCH CO,CL A,002896207,515000,24402,SH, ,DFND,2018-09-30
4,ACACIA COMMUNICATIONS INC,COM,00401C108,778000,18800,SH, ,DFND,2018-09-30
5,ACADIA PHARMACEUTICALS INC,COM,004225108,37513000,1807000,SH, ,DFND,2018-09-30
6,ACADIA PHARMACEUTICALS INC,COM,004225108,4152000,200000,SH,Call,DFND,2018-09-30
7,ACCELERON PHARMA INC,COM,00434H108,746000,13028,SH, ,DFND,2018-09-30
8,ACHAOGEN INC,COM,004449104,399000,100000,SH, ,DFND,2018-09-30
9,ACHILLION PHARMACEUTICALS IN,COM,00448Q201,6609000,1796000,SH, ,DFND,2018-09-30
10,ACTIVISION BLIZZARD INC,COM,00507V109,132037000,1587169,SH, ,DFND,2018-09-30
11,ACUITY BRANDS INC,COM,00508Y102,1148000,7300,SH, ,DFND,2018-09-30
12,ADAMAS PHARMACEUTICALS INC,COM,00548A106,48923000,2443700,SH, ,DFND,2018-09-30
13,ADAPTIMMUNE THERAPEUTICS PLC,SPONDS ADR,00653A107,4068000,300000,SH, ,DFND,2018-09-30
14,ADDUS HOMECARE CORP,COM,006739106,383000,5463,SH, ,DFND,2018-09-30
15,ADECOAGRO S A,COM,L00849106,9443000,1284753,SH, ,DFND,2018-09-30
16,ADIENT PLC,ORD SHS,G0084W101,625000,15900,SH, ,DFND,2018-09-30
17,ADVANCE AUTO PARTS INC,COM,00751Y106,15553000,92394,SH, ,DFND,2018-09-30
18,ADVANCED MICRO DEVICES INC,COM,007903107,5011000,162230,SH, ,DFND,2018-09-30
19,ADVANSIX INC,COM,00773T101,2888000,85081,SH, ,DFND,2018-09-30
20,AEGLEA BIOTHERAPEUTICS INC,COM,00773J103,2542000,265636,SH, ,DFND,2018-09-30
21,AERIE PHARMACEUTICALS INC,COM,00771V108,12506000,203180,SH, ,DFND,2018-09-30
22,AES CORP,COM,00130H105,7000000,500000,SH,Put,DFND,2018-09-30
23,AFFILIATED MANAGERS GROUP,COM,008252108,4375000,32000,SH, ,DFND,2018-09-30
24,AGILENT TECHNOLOGIES INC,COM,00846U101,106153000,1504860,SH, ,DFND,2018-09-30
25,AGIOS PHARMACEUTICALS INC,COM,00847X104,13550000,175700,SH, ,DFND,2018-09-30
26,AIMMUNE THERAPEUTICS INC,COM,00900T107,10431000,382380,SH, ,DFND,2018-09-30
27,AIR LEASE CORP,CL A,00912X302,2294000,50000,SH, ,DFND,2018-09-30
28,AIR PRODS & CHEMS INC,COM,009158106,60225000,360518,SH, ,DFND,2018-09-30
29,AKCEA THERAPEUTICS INC,COM,00972L107,19307000,551300,SH,Put,DFND,2018-09-30
30,AKEBIA THERAPEUTICS INC,COM,00972D105,2633000,298212,SH, ,DFND,2018-09-30
31,AKORN INC,COM,009728106,528000,40700,SH, ,DFND,2018-09-30
32,ALASKA AIR GROUP INC,COM,011659109,75738000,1099890,SH, ,DFND,2018-09-30
33,ALCOA CORP,COM,013872106,2828000,70000,SH, ,DFND,2018-09-30
34,ALDER BIOPHARMACEUTICALS INC,COM,014339105,485000,29100,SH,Put,DFND,2018-09-30
35,ALEXION PHARMACEUTICALS INC,COM,015351109,101016000,726683,SH, ,DFND,2018-09-30
36,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,182064000,1105026,SH, ,DFND,2018-09-30
37,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,99680000,605000,SH,Call,DFND,2018-09-30
38,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,41190000,250000,SH,Put,DFND,2018-09-30
39,ALIGN TECHNOLOGY INC,COM,016255101,743000,1900,SH, ,DFND,2018-09-30
40,ALLEGHENY TECHNOLOGIES INC,COM,01741R102,2955000,100000,SH,Call,DFND,2018-09-30
41,ALLEGION PUB LTD CO,ORD SHS,G0176J109,2264000,25000,SH, ,DFND,2018-09-30
