,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,AAC HLDGS INC,COM,000307108,1019000,45800,SH, ,DFND,2015-09-30
1,AAR CORP,COM,000361105,2567000,135300,SH, ,DFND,2015-09-30
2,AARONS INC,COM PAR $0.50,002535300,693000,19200,SH, ,DFND,2015-09-30
3,ABAXIS INC,COM,002567105,2969000,67500,SH, ,DFND,2015-09-30
4,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,9463000,142800,SH, ,DFND,2015-09-30
5,ACADIA PHARMACEUTICALS INC,COM,004225108,66537000,2012000,SH, ,DFND,2015-09-30
6,ACCO BRANDS CORP,COM,00081T108,11135000,1575000,SH, ,DFND,2015-09-30
7,ACCURAY INC,COM,004397105,7899000,1581300,SH, ,DFND,2015-09-30
8,ACE LTD,SHS,H0023R105,24785000,239700,SH, ,DFND,2015-09-30
9,ACHAOGEN INC,COM,004449104,1403000,243490,SH, ,DFND,2015-09-30
10,ACHILLION PHARMACEUTICALS IN,COM,00448Q201,67525000,9772018,SH, ,DFND,2015-09-30
11,ACORDA THERAPEUTICS INC,COM,00484M106,28703000,1082719,SH, ,DFND,2015-09-30
12,ACUITY BRANDS INC,COM,00508Y102,4000,20,SH, ,DFND,2015-09-30
13,ADECOAGRO S A,COM,L00849106,1423000,178800,SH, ,DFND,2015-09-30
14,ADEPTUS HEALTH INC,CL A,006855100,3319000,41100,SH, ,DFND,2015-09-30
15,ADOBE SYS INC,COM,00724F101,6183000,75200,SH, ,DFND,2015-09-30
16,ADURO BIOTECH INC,COM,00739L101,16381000,845700,SH, ,DFND,2015-09-30
17,ADVANTAGE OIL & GAS LTD,COM,00765F101,4125000,790000,SH, ,DFND,2015-09-30
18,AECOM,COM,00766T100,14007000,509171,SH, ,DFND,2015-09-30
19,AERCAP HOLDINGS NV,SHS,N00985106,9009000,235600,SH, ,DFND,2015-09-30
20,AETNA INC NEW,COM,00817Y108,25536000,233400,SH, ,DFND,2015-09-30
21,AFFYMETRIX INC,COM,00826T108,2764000,323600,SH, ,DFND,2015-09-30
22,AGCO CORP,CALL,001084102,4663000,100000,SH,Call,DFND,2015-09-30
23,AGENUS INC,COM NEW,00847G705,14094000,3063817,SH, ,DFND,2015-09-30
24,AGNICO EAGLE MINES LTD,COM,008474108,2633000,104000,SH, ,DFND,2015-09-30
25,AGRIUM INC,COM,008916108,4488000,50140,SH, ,DFND,2015-09-30
26,AIR LEASE CORP,CL A,00912X302,9060000,293000,SH, ,DFND,2015-09-30
27,AIR PRODS & CHEMS INC,COM,009158106,41172000,322715,SH, ,DFND,2015-09-30
28,AIRGAS INC,COM,009363102,30194000,338000,SH, ,DFND,2015-09-30
29,AKAMAI TECHNOLOGIES INC,COM,00971T101,6547000,94800,SH, ,DFND,2015-09-30
30,AKORN INC,COM,009728106,10664000,374100,SH, ,DFND,2015-09-30
31,ALBEMARLE CORP,COM,012653101,80354000,1822075,SH, ,DFND,2015-09-30
32,ALCOA INC,COM,013817101,20954000,2169200,SH, ,DFND,2015-09-30
33,ALDER BIOPHARMACEUTICALS INC,COM,014339105,38975000,1189700,SH, ,DFND,2015-09-30
34,ALERE INC,COM,01449J105,26839000,557400,SH, ,DFND,2015-09-30
35,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,3538000,60000,SH, ,DFND,2015-09-30
36,ALIGN TECHNOLOGY INC,COM,016255101,27199000,479200,SH, ,DFND,2015-09-30
37,ALLEGION PUB LTD CO,ORD SHS,G0176J109,48296000,837600,SH, ,DFND,2015-09-30
38,ALLIANCE DATA SYSTEMS CORP,COM,018581108,10761000,41550,SH, ,DFND,2015-09-30
39,ALLIED WRLD ASSUR COM HLDG A,SHS,H01531104,2363000,61900,SH, ,DFND,2015-09-30
40,ALLISON TRANSMISSION HLDGS I,COM,01973R101,5836000,218650,SH, ,DFND,2015-09-30
41,ALLY FINL INC,COM,02005N100,1408000,69100,SH, ,DFND,2015-09-30
42,ALON USA ENERGY INC,COM,020520102,25972000,1437300,SH, ,DFND,2015-09-30
43,AMAZON COM INC,COM,023135106,316450000,618200,SH, ,DFND,2015-09-30
44,AMEDISYS INC,COM,023436108,2005000,52800,SH, ,DFND,2015-09-30
45,AMERICAN AIRLS GROUP INC,COM,02376R102,3099000,79800,SH, ,DFND,2015-09-30
46,AMERICAN AXLE & MFG HLDGS IN,CALL,024061103,1994000,100000,SH,Call,DFND,2015-09-30
47,AMERICAN AXLE & MFG HLDGS IN,COM,024061103,54002000,2708200,SH, ,DFND,2015-09-30
48,AMERICAN EAGLE OUTFITTERS NE,COM,02553E106,7371000,471600,SH, ,DFND,2015-09-30
49,AMERICAN EQTY INVT LIFE HLD,COM,025676206,10140000,435000,SH, ,DFND,2015-09-30
50,AMPLIFY SNACK BRANDS,COM,03211L102,1782000,166400,SH, ,DFND,2015-09-30
51,AMSURG CORP,COM,03232P405,3388000,43600,SH, ,DFND,2015-09-30
52,ANACOR PHARMACEUTICALS INC,COM,032420101,17727000,150600,SH, ,DFND,2015-09-30
53,ANADARKO PETE CORP,CALL,032511107,1510000,25000,SH,Call,DFND,2015-09-30
54,ANADARKO PETE CORP,COM,032511107,46736000,773901,SH, ,DFND,2015-09-30
55,ANTERO RES CORP,COM,03674X106,8803000,416000,SH, ,DFND,2015-09-30
