,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,ABBOTT LABS,COM,002824100,8318000,200000,SH, ,DFND,2014-09-30
1,ABBVIE INC,COM,00287Y109,10645000,184300,SH, ,DFND,2014-09-30
2,ACADIA PHARMACEUTICALS INC,COM,004225108,22903000,925000,SH, ,DFND,2014-09-30
3,ACCO BRANDS CORP,COM,00081T108,10666000,1545800,SH, ,DFND,2014-09-30
4,ACCURAY INC,COM,004397105,9275000,1277500,SH, ,DFND,2014-09-30
5,ACHILLION PHARMACEUTICALS IN,COM,00448Q201,10460000,1048100,SH, ,DFND,2014-09-30
6,ACTAVIS PLC,SHS,G0083B108,24828000,102900,SH, ,DFND,2014-09-30
7,ADOBE SYS INC,COM,00724F101,325000,4700,SH, ,DFND,2014-09-30
8,ADVANCE AUTO PARTS INC,COM,00751Y106,1511000,11600,SH, ,DFND,2014-09-30
9,ADVANCED ENERGY INDS,COM,007973100,21515000,1145000,SH, ,DFND,2014-09-30
10,AECOM TECHNOLOGY CORP DELAWA,COM,00766T100,12950000,383700,SH, ,DFND,2014-09-30
11,AEGERION PHARMACEUTICALS INC,COM,00767E102,25285000,757500,SH, ,DFND,2014-09-30
12,AERCAP HOLDINGS NV,SHS,N00985106,6188000,151300,SH, ,DFND,2014-09-30
13,AIR LEASE CORP,CL A,00912X302,4043000,124400,SH, ,DFND,2014-09-30
14,AIR PRODS & CHEMS INC,COM,009158106,69581000,534500,SH, ,DFND,2014-09-30
15,AK STL HLDG CORP,COM,001547108,33221000,4147500,SH, ,DFND,2014-09-30
16,AKAMAI TECHNOLOGIES INC,COM,00971T101,16792000,280800,SH, ,DFND,2014-09-30
17,AKORN INC,COM,009728106,1781000,49100,SH, ,DFND,2014-09-30
18,ALBEMARLE CORP,COM,012653101,1343000,22800,SH, ,DFND,2014-09-30
19,ALERE INC,COM,01449J105,77331000,1994100,SH, ,DFND,2014-09-30
20,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,11728000,132000,SH, ,DFND,2014-09-30
21,ALIGN TECHNOLOGY INC,COM,016255101,13168000,254800,SH, ,DFND,2014-09-30
22,ALLEGHENY TECHNOLOGIES INC,COM,01741R102,8399000,226400,SH, ,DFND,2014-09-30
23,ALLERGAN INC,COM,018490102,48984000,274900,SH, ,DFND,2014-09-30
24,ALLIANT TECHSYSTEMS INC,COM,018804104,33186000,260000,SH, ,DFND,2014-09-30
25,ALLISON TRANSMISSION HLDGS I,COM,01973R101,37193000,1305464,SH, ,DFND,2014-09-30
26,ALLSTATE CORP,COM,020002101,18055000,294200,SH, ,DFND,2014-09-30
27,ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,945000,12100,SH, ,DFND,2014-09-30
28,ALON USA ENERGY INC,COM,020520102,23232000,1617800,SH, ,DFND,2014-09-30
29,ALTISOURCE RESIDENTIAL CORP,CL B,02153W100,1920000,80000,SH, ,DFND,2014-09-30
30,AMAZON COM INC,COM,023135106,32244000,100000,SH, ,DFND,2014-09-30
