,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,10X GENOMICS INC,CL A COM,88025U109,20000,400,SH, ,DFND,2019-09-30
1,58 COM INC,SPON ADR REP A,31680Q104,287000,5823,SH, ,DFND,2019-09-30
2,8X8 INC NEW,COM,282914100,66829000,3225341,SH, ,DFND,2019-09-30
3,AARONS INC,COM PAR $0.50,002535300,2116000,32929,SH, ,DFND,2019-09-30
4,ABB LTD,SPONSORED ADR,000375204,1286000,65367,SH, ,DFND,2019-09-30
5,ABBOTT LABS,COM,002824100,12551000,150000,SH,Put,DFND,2019-09-30
6,ABM INDS INC,COM,000957100,323000,8904,SH, ,DFND,2019-09-30
7,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,9859000,317200,SH, ,DFND,2019-09-30
8,ACCELERON PHARMA INC,COM,00434H108,1986000,50256,SH, ,DFND,2019-09-30
9,ACORDA THERAPEUTICS INC,COM,00484M106,2896000,1009000,SH, ,DFND,2019-09-30
10,ACTIVISION BLIZZARD INC,COM,00507V109,54445000,1028813,SH, ,DFND,2019-09-30
11,ADDUS HOMECARE CORP,COM,006739106,15574000,196438,SH, ,DFND,2019-09-30
12,ADIENT PLC,ORD SHS,G0084W101,1795000,78200,SH, ,DFND,2019-09-30
13,ADOBE INC,COM,00724F101,141531000,512329,SH, ,DFND,2019-09-30
14,ADOBE INC,COM,00724F101,8840000,32000,SH,Call,DFND,2019-09-30
15,ADVANCE AUTO PARTS INC,COM,00751Y106,30844000,186479,SH, ,DFND,2019-09-30
16,ADVANCED DRAIN SYS INC DEL,COM,00790R104,345000,10700,SH, ,DFND,2019-09-30
17,ADVANCED MICRO DEVICES INC,COM,007903107,230188000,7940243,SH, ,DFND,2019-09-30
18,AERIE PHARMACEUTICALS INC,COM,00771V108,27153000,1412759,SH, ,DFND,2019-09-30
19,AEROJET ROCKETDYNE HLDGS INC,COM,007800105,722000,14300,SH, ,DFND,2019-09-30
20,AES CORP,COM,00130H105,307000,18800,SH, ,DFND,2019-09-30
21,AFFIMED N V,COM,N01045108,1470000,500000,SH, ,DFND,2019-09-30
22,AGCO CORP,COM,001084102,6504000,85920,SH, ,DFND,2019-09-30
23,AIMMUNE THERAPEUTICS INC,COM,00900T107,12602000,601813,SH, ,DFND,2019-09-30
24,AIMMUNE THERAPEUTICS INC,COM,00900T107,5235000,250000,SH,Put,DFND,2019-09-30
25,AKEBIA THERAPEUTICS INC,COM,00972D105,6947000,1772300,SH, ,DFND,2019-09-30
26,AKERO THERAPEUTICS INC,COM,00973Y108,2427000,106700,SH, ,DFND,2019-09-30
27,ALASKA AIR GROUP INC,COM,011659109,17370000,267604,SH, ,DFND,2019-09-30
28,ALBANY INTL CORP,CL A,012348108,18000,200,SH, ,DFND,2019-09-30
29,ALBIREO PHARMA INC,COM,01345P106,1758000,87906,SH, ,DFND,2019-09-30
30,ALCOA CORP,COM,013872106,3011000,150000,SH,Put,DFND,2019-09-30
31,ALEXANDER & BALDWIN INC NEW,COM,014491104,390000,15900,SH, ,DFND,2019-09-30
32,ALEXANDERS INC,COM,014752109,105000,300,SH, ,DFND,2019-09-30
33,ALEXANDRIA REAL ESTATE EQ IN,COM,015271109,1146000,7441,SH, ,DFND,2019-09-30
34,ALEXION PHARMACEUTICALS INC,COM,015351109,41060000,419241,SH, ,DFND,2019-09-30
35,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,319043000,1907811,SH, ,DFND,2019-09-30
36,ALIGN TECHNOLOGY INC,COM,016255101,1897000,10483,SH, ,DFND,2019-09-30
37,ALLEGHANY CORP DEL,COM,017175100,11218000,14062,SH, ,DFND,2019-09-30
38,ALLEGHENY TECHNOLOGIES INC,COM,01741R102,9540000,471118,SH, ,DFND,2019-09-30
39,ALLEGHENY TECHNOLOGIES INC,COM,01741R102,2025000,100000,SH,Call,DFND,2019-09-30
40,ALLEGIANT TRAVEL CO,COM,01748X102,9776000,65323,SH, ,DFND,2019-09-30
41,ALLEGION PUB LTD CO,ORD SHS,G0176J109,3717000,35859,SH, ,DFND,2019-09-30
42,ALLERGAN PLC,SHS,G0177J108,2608000,15500,SH,Put,DFND,2019-09-30
43,ALLETE INC,COM NEW,018522300,87000,1000,SH, ,DFND,2019-09-30
44,ALLIANCE DATA SYSTEMS CORP,COM,018581108,30150000,235310,SH, ,DFND,2019-09-30
45,ALLIANT ENERGY CORP,COM,018802108,518000,9600,SH, ,DFND,2019-09-30
46,ALLSCRIPTS HEALTHCARE SOLUTN,COM,01988P108,361000,32900,SH, ,DFND,2019-09-30
47,ALPHABET INC,CAP STK CL A,02079K305,35715000,29247,SH, ,DFND,2019-09-30
48,ALPHABET INC,CAP STK CL A,02079K305,13433000,11000,SH,Call,DFND,2019-09-30
49,ALTERYX INC,COM CL A,02156B103,61675000,574096,SH, ,DFND,2019-09-30
50,ALTERYX INC,COM CL A,02156B103,10743000,100000,SH,Call,DFND,2019-09-30
51,ALTRIA GROUP INC,COM,02209S103,5419000,132483,SH, ,DFND,2019-09-30
52,AMAZON COM INC,COM,023135106,218612000,125935,SH, ,DFND,2019-09-30
53,AMAZON COM INC,COM,023135106,4513000,2600,SH,Call,DFND,2019-09-30
54,AMBARELLA INC,SHS,G037AX101,69000,1100,SH, ,DFND,2019-09-30
55,AMC NETWORKS INC,CL A,00164V103,963000,19590,SH, ,DFND,2019-09-30
56,AMEREN CORP,COM,023608102,32659000,407979,SH, ,DFND,2019-09-30
57,AMERICAN ASSETS TR INC,COM,024013104,173000,3700,SH, ,DFND,2019-09-30
58,AMERICAN CAMPUS CMNTYS INC,COM,024835100,139000,2900,SH, ,DFND,2019-09-30
59,AMERICAN EAGLE OUTFITTERS IN,COM,02553E106,1026000,63254,SH, ,DFND,2019-09-30
60,AMERICAN FINL GROUP INC OHIO,COM,025932104,969000,8984,SH, ,DFND,2019-09-30
61,AMERICAN INTL GROUP INC,COM NEW,026874784,25030000,449375,SH, ,DFND,2019-09-30
62,AMERICAN NATL INS CO,COM,028591105,49000,400,SH, ,DFND,2019-09-30
63,AMERICAN OUTDOOR BRANDS CORP,COM,02874P103,240000,41005,SH, ,DFND,2019-09-30
64,AMERICOLD RLTY TR,COM,03064D108,905000,24400,SH, ,DFND,2019-09-30
65,AMERISOURCEBERGEN CORP,COM,03073E105,766000,9300,SH, ,DFND,2019-09-30
66,AMICUS THERAPEUTICS INC,COM,03152W109,10161000,1267000,SH, ,DFND,2019-09-30
67,AMKOR TECHNOLOGY INC,COM,031652100,141000,15500,SH, ,DFND,2019-09-30
68,AMN HEALTHCARE SERVICES INC,COM,001744101,18714000,325121,SH, ,DFND,2019-09-30
69,AMNEAL PHARMACEUTICALS INC,COM STK CL A,03168L105,2934000,1011800,SH, ,DFND,2019-09-30
70,ANALOG DEVICES INC,COM,032654105,4196000,37556,SH, ,DFND,2019-09-30
71,ANAPLAN INC,COM,03272L108,11700000,248936,SH, ,DFND,2019-09-30
72,ANGI HOMESERVICES INC,COM CL A,00183L102,969000,136743,SH, ,DFND,2019-09-30
73,ANNALY CAP MGMT INC,COM,035710409,225000,25548,SH, ,DFND,2019-09-30
74,ANSYS INC,COM,03662Q105,1517000,6851,SH, ,DFND,2019-09-30
75,AON PLC,SHS CL A,G0408V102,33116000,171081,SH, ,DFND,2019-09-30
76,APARTMENT INVT & MGMT CO,CL A,03748R754,1846000,35409,SH, ,DFND,2019-09-30
77,APOLLO COML REAL EST FIN INC,COM,03762U105,42000,2181,SH, ,DFND,2019-09-30
78,APOLLO GLOBAL MGMT INC,COM CL A,03768E105,3399000,89885,SH, ,DFND,2019-09-30
79,APOLLO INVT CORP,COM NEW,03761U502,166000,10338,SH, ,DFND,2019-09-30
80,APPIAN CORP,CL A,03782L101,4097000,86250,SH, ,DFND,2019-09-30
81,APPLE HOSPITALITY REIT INC,COM NEW,03784Y200,333000,20100,SH, ,DFND,2019-09-30
82,APPLIED INDL TECHNOLOGIES IN,COM,03820C105,68000,1200,SH, ,DFND,2019-09-30
83,APPLIED MATLS INC,COM,038222105,49181000,985593,SH, ,DFND,2019-09-30
84,APPLIED MATLS INC,COM,038222105,12475000,250000,SH,Call,DFND,2019-09-30
85,APPLIED OPTOELECTRONICS INC,COM,03823U102,4702000,419100,SH, ,DFND,2019-09-30
86,APTARGROUP INC,COM,038336103,142000,1200,SH, ,DFND,2019-09-30
87,APTEVO THERAPEUTICS INC,COM,03835L108,1442000,2450000,SH, ,DFND,2019-09-30
88,APTIV PLC,SHS,G6095L109,26353000,301456,SH, ,DFND,2019-09-30
89,APTOSE BIOSCIENCES INC,COM NEW,03835T200,4587000,2200000,SH, ,DFND,2019-09-30
90,AQUA AMERICA INC,COM,03836W103,6255000,139533,SH, ,DFND,2019-09-30
91,ARCH CAP GROUP LTD,ORD,G0450A105,13821000,329228,SH, ,DFND,2019-09-30
92,ARCHER DANIELS MIDLAND CO,COM,039483102,29000,700,SH, ,DFND,2019-09-30
93,ARCHROCK INC,COM,03957W106,185000,18600,SH, ,DFND,2019-09-30
94,ARCONIC INC,COM,03965L100,6754000,259762,SH, ,DFND,2019-09-30
95,ARCOSA INC,COM,039653100,24000,700,SH, ,DFND,2019-09-30
96,ARDMORE SHIPPING CORP,COM,Y0207T100,836000,125000,SH, ,DFND,2019-09-30
97,ARENA PHARMACEUTICALS INC,COM NEW,040047607,7049000,154019,SH, ,DFND,2019-09-30
98,ARES CAP CORP,COM,04010L103,841000,45115,SH, ,DFND,2019-09-30
99,ARES MANAGEMENT CORPORATION,CL A COM STK,03990B101,3437000,128200,SH, ,DFND,2019-09-30
