,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,ACCO BRANDS CORP,COM,00081T108,12074000,1452900,SH, ,DFND,2015-03-31
1,ADOBE SYS INC,COM,00724F101,13287000,179700,SH, ,DFND,2015-03-31
2,ADVANCE AUTO PARTS INC,COM,00751Y106,127237000,850000,SH, ,DFND,2015-03-31
3,AETNA INC NEW,COM,00817Y108,8544000,80200,SH, ,DFND,2015-03-31
4,ALERE INC,COM,01449J105,2396000,49000,SH, ,DFND,2015-03-31
5,ALLSCRIPTS HEALTHCARE SOLUTN,COM,01988P108,14083000,1177500,SH, ,DFND,2015-03-31
6,AMICUS THERAPEUTICS INC,COM,03152W109,1892000,173900,SH, ,DFND,2015-03-31
7,ARMSTRONG WORLD INDS INC NEW,COM,04247X102,18702000,325425,SH, ,DFND,2015-03-31
8,AUTONATION INC,COM,05329W102,3718000,57800,SH, ,DFND,2015-03-31
9,BABCOCK & WILCOX CO NEW,COM,05615F102,38073000,1186450,SH, ,DFND,2015-03-31
10,BIOGEN INC,COM,09062X103,3716000,8800,SH, ,DFND,2015-03-31
11,C H ROBINSON WORLDWIDE INC,COM NEW,12541W209,7322000,100000,SH, ,DFND,2015-03-31
12,CME GROUP INC,COM,12572Q105,2844000,30032,SH, ,DFND,2015-03-31
13,CALLIDUS SOFTWARE INC,COM,13123E500,317000,25000,SH, ,DFND,2015-03-31
14,CAMERON INTERNATIONAL CORP,COM,13342B105,21658000,480000,SH, ,DFND,2015-03-31
15,CANADIAN PAC RY LTD,COM,13645T100,56491000,309200,SH, ,DFND,2015-03-31
16,CARDINAL HEALTH INC,COM,14149Y108,9505000,105300,SH, ,DFND,2015-03-31
17,CARDTRONICS INC,COM,14161H108,3474000,92400,SH, ,DFND,2015-03-31
18,CHINA LIFE INS CO LTD,SPON ADR REP H,16939P106,4540000,68710,SH, ,DFND,2015-03-31
19,CHINA MOBILE LIMITED,SPONSORED ADR,16941M109,9995000,153700,SH, ,DFND,2015-03-31
20,CLEARWATER PAPER CORP,COM,18538R103,9929000,152055,SH, ,DFND,2015-03-31
