,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,8X8 INC NEW,COM,282914100,43186000,2315600,SH, ,DFND,2018-03-31
1,ABAXIS INC,COM,002567105,749000,10600,SH, ,DFND,2018-03-31
2,ABBOTT LABS,COM,002824100,66000,1100,SH, ,DFND,2018-03-31
3,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,16475000,420500,SH, ,DFND,2018-03-31
4,ACADIA PHARMACEUTICALS INC,COM,004225108,97911000,4357426,SH, ,DFND,2018-03-31
5,ACADIA PHARMACEUTICALS INC,COM,004225108,8988000,400000,SH,Put,DFND,2018-03-31
6,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,3070000,20000,SH, ,DFND,2018-03-31
7,ACHAOGEN INC,COM,004449104,2655000,205000,SH,Put,DFND,2018-03-31
8,ACLARIS THERAPEUTICS INC,COM,00461U105,12796000,730374,SH, ,DFND,2018-03-31
9,ACTIVISION BLIZZARD INC,COM,00507V109,179321000,2658180,SH, ,DFND,2018-03-31
10,ACTIVISION BLIZZARD INC,COM,00507V109,10490000,155500,SH,Call,DFND,2018-03-31
11,ADAMAS PHARMACEUTICALS INC,COM,00548A106,48675000,2036600,SH, ,DFND,2018-03-31
12,ADECOAGRO S A,COM,L00849106,4020000,534600,SH, ,DFND,2018-03-31
13,ADOBE SYS INC,COM,00724F101,5018000,23222,SH, ,DFND,2018-03-31
14,ADURO BIOTECH INC,COM,00739L101,15810000,1700000,SH, ,DFND,2018-03-31
15,AEROJET ROCKETDYNE HLDGS INC,COM,007800105,1449000,51800,SH, ,DFND,2018-03-31
16,AES CORP,COM,00130H105,9819000,863600,SH, ,DFND,2018-03-31
17,AFFIMED N V,COM,N01045108,463000,250000,SH, ,DFND,2018-03-31
18,AGENUS INC,COM NEW,00847G705,16342000,3469613,SH, ,DFND,2018-03-31
19,AGIOS PHARMACEUTICALS INC,COM,00847X104,33210000,406090,SH, ,DFND,2018-03-31
20,AIMMUNE THERAPEUTICS INC,COM,00900T107,34373000,1079900,SH, ,DFND,2018-03-31
21,AIR LEASE CORP,CL A,00912X302,8524000,200000,SH,Put,DFND,2018-03-31
22,AIR PRODS & CHEMS INC,COM,009158106,18688000,117511,SH, ,DFND,2018-03-31
23,AKEBIA THERAPEUTICS INC,COM,00972D105,1850000,194150,SH, ,DFND,2018-03-31
24,ALEXION PHARMACEUTICALS INC,COM,015351109,9474000,85000,SH, ,DFND,2018-03-31
25,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,310599000,1692268,SH, ,DFND,2018-03-31
26,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,223130000,1215700,SH,Call,DFND,2018-03-31
27,ALKERMES PLC,SHS,G01767105,748000,12900,SH, ,DFND,2018-03-31
28,ALLEGHENY TECHNOLOGIES INC,COM,01741R102,4371000,184572,SH, ,DFND,2018-03-31
29,ALLEGION PUB LTD CO,ORD SHS,G0176J109,27787000,325800,SH, ,DFND,2018-03-31
30,ALLERGAN PLC,SHS,G0177J108,54342000,322907,SH, ,DFND,2018-03-31
31,ALLIANCE DATA SYSTEMS CORP,COM,018581108,13036000,61244,SH, ,DFND,2018-03-31
32,ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,108148000,908046,SH, ,DFND,2018-03-31
33,ALPHABET INC,CAP STK CL A,02079K305,23490000,22649,SH, ,DFND,2018-03-31
34,ALPHABET INC,CAP STK CL A,02079K305,67414000,65000,SH,Call,DFND,2018-03-31
35,ALPHABET INC,CAP STK CL C,02079K107,39359000,38146,SH, ,DFND,2018-03-31
36,ALTA MESA RES INC,*W EXP 03/28/202,02133L117,1240000,800000,SH, ,DFND,2018-03-31
37,ALTA MESA RES INC,CL A,02133L109,59866000,7483280,SH, ,DFND,2018-03-31
38,ALTABA INC,COM,021346101,7846000,105964,SH, ,DFND,2018-03-31
39,ALTABA INC,COM,021346101,74040000,1000000,SH,Call,DFND,2018-03-31
40,ALTICE USA INC,CL A,02156K103,23854000,1290780,SH, ,DFND,2018-03-31
41,AMAZON COM INC,COM,023135106,248351000,171591,SH, ,DFND,2018-03-31
42,AMEDISYS INC,COM,023436108,18681000,309600,SH, ,DFND,2018-03-31
43,AMERICAN AXLE & MFG HLDGS IN,COM,024061103,30271000,1988881,SH, ,DFND,2018-03-31
44,AMERICAN EAGLE OUTFITTERS NE,COM,02553E106,1848000,92700,SH, ,DFND,2018-03-31
45,AMERICAN ELEC PWR INC,COM,025537101,13643000,198900,SH, ,DFND,2018-03-31
46,AMERICAN EXPRESS CO,COM,025816109,2369000,25395,SH, ,DFND,2018-03-31
47,AMERICAN FINL GROUP INC OHIO,COM,025932104,651000,5800,SH, ,DFND,2018-03-31
48,AMERICAN HOMES 4 RENT,CL A,02665T306,1243000,61900,SH, ,DFND,2018-03-31
49,AMERICAN INTL GROUP INC,COM NEW,026874784,106420000,1955534,SH, ,DFND,2018-03-31
50,AMERICAN OUTDOOR BRANDS CORP,COM,02874P103,1290000,125000,SH,Call,DFND,2018-03-31
51,AMERICAN WTR WKS CO INC NEW,COM,030420103,5248000,63900,SH, ,DFND,2018-03-31
52,AMERISOURCEBERGEN CORP,COM,03073E105,8224000,95400,SH, ,DFND,2018-03-31
53,AMETEK INC NEW,COM,031100100,5698000,75000,SH, ,DFND,2018-03-31
54,AMN HEALTHCARE SERVICES INC,COM,001744101,22809000,401912,SH, ,DFND,2018-03-31
55,AMPHASTAR PHARMACEUTICALS IN,COM,03209R103,1219000,65000,SH, ,DFND,2018-03-31
56,AMPHENOL CORP NEW,CL A,032095101,5969000,69300,SH, ,DFND,2018-03-31
57,ANADARKO PETE CORP,COM,032511107,81324000,1346200,SH, ,DFND,2018-03-31
58,ANALOG DEVICES INC,COM,032654105,2506000,27500,SH, ,DFND,2018-03-31
59,ANDEAVOR,COM,03349M105,197883000,1967810,SH, ,DFND,2018-03-31
60,ANDEAVOR,COM,03349M105,10056000,100000,SH,Call,DFND,2018-03-31
61,ANHEUSER BUSCH INBEV SA/NV,SPONSORED ADR,03524A108,3485000,31700,SH, ,DFND,2018-03-31
62,ANTHEM INC,COM,036752103,29681000,135100,SH, ,DFND,2018-03-31
63,APACHE CORP,COM,037411105,24050000,625000,SH, ,DFND,2018-03-31
64,APOLLO COML REAL EST FIN INC,COM,03762U105,4104000,228227,SH, ,DFND,2018-03-31
65,APPLIED GENETIC TECHNOL CORP,COM,03820J100,693000,180000,SH, ,DFND,2018-03-31
66,APPLIED MATLS INC,COM,038222105,467000,8400,SH, ,DFND,2018-03-31
67,APPTIO INC,CL A,03835C108,170000,6000,SH, ,DFND,2018-03-31
68,APTIV PLC,SHS,G6095L109,23052000,271300,SH, ,DFND,2018-03-31
69,AQUINOX PHARMACEUTICALS INC,COM,03842B101,3521000,250100,SH, ,DFND,2018-03-31
70,ARAMARK,COM,03852U106,22588000,570973,SH, ,DFND,2018-03-31
71,ARAMARK,COM,03852U106,3956000,100000,SH,Call,DFND,2018-03-31
72,ARCH COAL INC,CL A,039380407,947000,10310,SH, ,DFND,2018-03-31
73,ARCHER DANIELS MIDLAND CO,COM,039483102,130988000,3020241,SH, ,DFND,2018-03-31
74,ARENA PHARMACEUTICALS INC,COM NEW,040047607,13327000,337400,SH, ,DFND,2018-03-31
75,ARES MGMT LP,COM SHS REG INT,04014Y101,3572000,166900,SH, ,DFND,2018-03-31
76,ARGENX SE,SPONSORED ADR,04016X101,4826000,60000,SH, ,DFND,2018-03-31
77,ARMSTRONG WORLD INDS INC NEW,COM,04247X102,5267000,93550,SH, ,DFND,2018-03-31
78,ARRAY BIOPHARMA INC,COM,04269X105,7315000,448200,SH, ,DFND,2018-03-31
79,ASPEN INSURANCE HOLDINGS LTD,SHS,G05384105,29197000,651000,SH, ,DFND,2018-03-31
80,ASSOCIATED BANC CORP,COM,045487105,8061000,324400,SH, ,DFND,2018-03-31
81,ASTRAZENECA PLC,SPONSORED ADR,046353108,101607000,2905535,SH, ,DFND,2018-03-31
82,AT HOME GROUP INC,COM,04650Y100,12766000,398453,SH, ,DFND,2018-03-31
83,AT&T INC,COM,00206R102,5437000,152522,SH, ,DFND,2018-03-31
84,AT&T INC,COM,00206R102,26791000,751500,SH,Call,DFND,2018-03-31
85,AT&T INC,COM,00206R102,103385000,2900000,SH,Put,DFND,2018-03-31
86,ATHENE HLDG LTD,CL A,G0684D107,99884000,2089189,SH, ,DFND,2018-03-31
87,ATLASSIAN CORP PLC,CL A,G06242104,2157000,40000,SH, ,DFND,2018-03-31
88,AUTODESK INC,COM,052769106,12921000,102892,SH, ,DFND,2018-03-31
89,AUTOHOME INC,SP ADR RP CL A,05278C107,1831000,21300,SH, ,DFND,2018-03-31
90,AUTOLIV INC,COM,052800109,1956000,13400,SH, ,DFND,2018-03-31
91,AUTOMATIC DATA PROCESSING IN,COM,053015103,23134000,203859,SH, ,DFND,2018-03-31
92,AUTOMATIC DATA PROCESSING IN,COM,053015103,215612000,1900000,SH,Call,DFND,2018-03-31
93,AUTONATION INC,COM,05329W102,616000,13163,SH, ,DFND,2018-03-31
94,AVALONBAY CMNTYS INC,COM,053484101,4621000,28100,SH, ,DFND,2018-03-31
95,AVEO PHARMACEUTICALS INC,COM,053588109,2727000,940403,SH, ,DFND,2018-03-31
96,AVERY DENNISON CORP,COM,053611109,13253000,124731,SH, ,DFND,2018-03-31
97,AVEXIS INC,COM,05366U100,102220000,827155,SH, ,DFND,2018-03-31
98,AVEXIS INC,COM,05366U100,12358000,100000,SH,Call,DFND,2018-03-31
99,AXALTA COATING SYS LTD,COM,G0750C108,25871000,856943,SH, ,DFND,2018-03-31
100,AXIS CAPITAL HOLDINGS LTD,SHS,G0692U109,26216000,455371,SH, ,DFND,2018-03-31
101,BAIDU INC,SPON ADR REP A,056752108,21837000,97841,SH, ,DFND,2018-03-31
102,BAKER HUGHES A GE CO,CL A,05722G100,7637000,275000,SH, ,DFND,2018-03-31
103,BANK AMER CORP,COM,060505104,16815000,560700,SH, ,DFND,2018-03-31
104,BANK NEW YORK MELLON CORP,COM,064058100,23890000,463610,SH, ,DFND,2018-03-31
105,BAOZUN INC,SPONSORED ADR,06684L103,5119000,111579,SH, ,DFND,2018-03-31
106,BAXTER INTL INC,COM,071813109,86243000,1326005,SH, ,DFND,2018-03-31
107,BCE INC,COM NEW,05534B760,1160000,26960,SH, ,DFND,2018-03-31
108,BED BATH & BEYOND INC,COM,075896100,4231000,201584,SH, ,DFND,2018-03-31
109,BED BATH & BEYOND INC,COM,075896100,4408000,210000,SH,Put,DFND,2018-03-31
110,BEMIS INC,COM,081437105,96000,2200,SH, ,DFND,2018-03-31
111,BERRY GLOBAL GROUP INC,COM,08579W103,69453000,1267154,SH, ,DFND,2018-03-31
112,BEST BUY INC,COM,086516101,0,1,SH, ,DFND,2018-03-31
113,BEST BUY INC,COM,086516101,27996000,400000,SH,Put,DFND,2018-03-31
114,BGC PARTNERS INC,CL A,05541T101,12888000,958200,SH, ,DFND,2018-03-31
115,BILIBILI INC,ADS REP SHS Z,090040106,3025000,275000,SH, ,DFND,2018-03-31
116,BIO RAD LABS INC,CL A,090572207,27059000,108200,SH, ,DFND,2018-03-31
117,BIOGEN INC,COM,09062X103,121744000,444615,SH, ,DFND,2018-03-31
118,BIOMARIN PHARMACEUTICAL INC,COM,09061G101,20438000,252100,SH, ,DFND,2018-03-31
119,BIOTELEMETRY INC,COM,090672106,1674000,53900,SH, ,DFND,2018-03-31
120,BIOXCEL THERAPEUTICS INC,COM,09075P105,609000,59451,SH, ,DFND,2018-03-31
121,BITAUTO HLDGS LTD,SPONSORED ADS,091727107,1457000,68900,SH, ,DFND,2018-03-31
122,BLACK HILLS CORP,COM,092113109,97000,1778,SH, ,DFND,2018-03-31
123,BLACK KNIGHT INC,COM,09215C105,1178000,25000,SH, ,DFND,2018-03-31
124,BLACK RIDGE ACQUISITION CORP,RIGHT 07/10/2019,09216T123,227000,755000,SH, ,DFND,2018-03-31
125,BLACKSTONE MTG TR INC,COM CL A,09257W100,182000,5800,SH, ,DFND,2018-03-31
126,BLOCK H & R INC,COM,093671105,34110000,1342400,SH, ,DFND,2018-03-31
127,BLOCK H & R INC,COM,093671105,33033000,1300000,SH,Call,DFND,2018-03-31
128,BLOOMIN BRANDS INC,COM,094235108,828000,34082,SH, ,DFND,2018-03-31
129,BLUEBIRD BIO INC,COM,09609G100,854000,5000,SH, ,DFND,2018-03-31
130,BLUEPRINT MEDICINES CORP,COM,09627Y109,25672000,279957,SH, ,DFND,2018-03-31
131,BOEING CO,COM,097023105,19706000,60100,SH, ,DFND,2018-03-31
132,BOEING CO,COM,097023105,29509000,90000,SH,Call,DFND,2018-03-31
133,BOFI HLDG INC,COM,05566U108,498000,12284,SH, ,DFND,2018-03-31
134,BOOKING HLDGS INC,COM,09857L108,161022000,77400,SH, ,DFND,2018-03-31
135,BOOKING HLDGS INC,COM,09857L108,104020000,50000,SH,Call,DFND,2018-03-31
136,BOSTON SCIENTIFIC CORP,COM,101137107,30011000,1098500,SH, ,DFND,2018-03-31
137,BOX INC,CL A,10316T104,6599000,321100,SH, ,DFND,2018-03-31
138,BOYD GAMING CORP,COM,103304101,91523000,2872674,SH, ,DFND,2018-03-31
139,BP PLC,SPONSORED ADR,055622104,74747000,1843779,SH, ,DFND,2018-03-31
140,BRIGHT HORIZONS FAM SOL IN D,COM,109194100,228000,2291,SH, ,DFND,2018-03-31
141,BRIGHT SCHOLAR ED HLDGS LTD,SPONSORED ADS,109199109,1081000,70000,SH, ,DFND,2018-03-31
142,BRIGHTHOUSE FINL INC,COM,10922N103,956000,18600,SH, ,DFND,2018-03-31
143,BRIGHTSPHERE INVESTMNT GRP P,SHS,G1644T109,3120000,198000,SH, ,DFND,2018-03-31
144,BRINKER INTL INC,COM,109641100,3005000,83242,SH, ,DFND,2018-03-31
