,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,2U INC,COM,90214J101,100000,2655,SH, ,DFND,2019-06-30
1,3M CO,COM,88579Y101,93730000,540727,SH, ,DFND,2019-06-30
2,8X8 INC NEW,COM,282914100,115113000,4776468,SH, ,DFND,2019-06-30
3,AARONS INC,COM PAR $0.50,002535300,161000,2628,SH, ,DFND,2019-06-30
4,ABB LTD,SPONSORED ADR,000375204,42000,2100,SH, ,DFND,2019-06-30
5,ABBVIE INC,COM,00287Y109,64350000,884906,SH, ,DFND,2019-06-30
6,ABERCROMBIE & FITCH CO,CL A,002896207,2477000,154442,SH, ,DFND,2019-06-30
7,ABIOMED INC,COM,003654100,478000,1834,SH, ,DFND,2019-06-30
8,ABM INDS INC,COM,000957100,88000,2200,SH, ,DFND,2019-06-30
9,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,15559000,445181,SH, ,DFND,2019-06-30
10,ACADIA PHARMACEUTICALS INC,COM,004225108,43000,1600,SH, ,DFND,2019-06-30
11,ACADIA RLTY TR,COM SH BEN INT,004239109,479000,17519,SH, ,DFND,2019-06-30
12,ACCELERON PHARMA INC,COM,00434H108,31869000,775768,SH, ,DFND,2019-06-30
13,ACI WORLDWIDE INC,COM,004498101,69000,2000,SH, ,DFND,2019-06-30
14,ACORDA THERAPEUTICS INC,COM,00484M106,3186000,415340,SH, ,DFND,2019-06-30
15,ACTIVISION BLIZZARD INC,COM,00507V109,83693000,1773148,SH, ,DFND,2019-06-30
16,ACUITY BRANDS INC,COM,00508Y102,208000,1506,SH, ,DFND,2019-06-30
17,ADAPTIVE BIOTECHNOLOGIES COR,COM,00650F109,2415000,50000,SH, ,DFND,2019-06-30
18,ADDUS HOMECARE CORP,COM,006739106,11760000,156900,SH, ,DFND,2019-06-30
19,ADECOAGRO S A,COM,L00849106,5112000,715901,SH, ,DFND,2019-06-30
20,ADIENT PLC,ORD SHS,G0084W101,5536000,228080,SH, ,DFND,2019-06-30
21,ADOBE INC,COM,00724F101,148975000,505599,SH, ,DFND,2019-06-30
22,ADT INC,COM,00090Q103,47000,7700,SH, ,DFND,2019-06-30
23,ADVANCE AUTO PARTS INC,COM,00751Y106,39775000,258043,SH, ,DFND,2019-06-30
24,ADVANCED DRAIN SYS INC DEL,COM,00790R104,85000,2600,SH, ,DFND,2019-06-30
25,ADVANCED MICRO DEVICES INC,COM,007903107,150592000,4958587,SH, ,DFND,2019-06-30
26,AEROJET ROCKETDYNE HLDGS INC,COM,007800105,121000,2700,SH, ,DFND,2019-06-30
27,AES CORP,COM,00130H105,178000,10600,SH, ,DFND,2019-06-30
28,AGCO CORP,COM,001084102,93000,1200,SH, ,DFND,2019-06-30
