,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,58 COM INC,SPON ADR REP A,31680Q104,238000,5400,SH, ,DFND,2017-06-30
1,AAR CORP,COM,000361105,2980000,85729,SH, ,DFND,2017-06-30
2,ABB LTD,SPONSORED ADR,000375204,2067000,83000,SH, ,DFND,2017-06-30
3,ABBVIE INC,COM,00287Y109,12327000,170000,SH, ,DFND,2017-06-30
4,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,27766000,562300,SH, ,DFND,2017-06-30
5,ACADIA PHARMACEUTICALS INC,COM,004225108,39214000,1406022,SH, ,DFND,2017-06-30
6,ACHAOGEN INC,COM,004449104,31487000,1449000,SH, ,DFND,2017-06-30
7,ACLARIS THERAPEUTICS INC,COM,00461U105,23388000,862402,SH, ,DFND,2017-06-30
8,ACORDA THERAPEUTICS INC,COM,00484M106,788000,40000,SH,Put,DFND,2017-06-30
9,ACTIVISION BLIZZARD INC,COM,00507V109,35118000,610000,SH, ,DFND,2017-06-30
10,ACUITY BRANDS INC,COM,00508Y102,1931000,9500,SH, ,DFND,2017-06-30
11,ADAMAS PHARMACEUTICALS INC,COM,00548A106,2011000,115000,SH, ,DFND,2017-06-30
12,ADAPTIMMUNE THERAPEUTICS PLC,SPONDS ADR,00653A107,2449000,545500,SH, ,DFND,2017-06-30
13,ADIENT PLC,ORD SHS,G0084W101,23720000,362800,SH, ,DFND,2017-06-30
14,ADOBE SYS INC,COM,00724F101,4243000,30000,SH, ,DFND,2017-06-30
15,ADVANCE AUTO PARTS INC,COM,00751Y106,29637000,254200,SH, ,DFND,2017-06-30
16,ADVANCE AUTO PARTS INC,COM,00751Y106,2915000,25000,SH,Call,DFND,2017-06-30
17,AECOM,COM,00766T100,4041000,125000,SH, ,DFND,2017-06-30
18,AERCAP HOLDINGS NV,SHS,N00985106,2786000,60000,SH, ,DFND,2017-06-30
