,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,58 COM INC,SPON ADR REP A,31680Q104,1358000,21500,SH, ,DFND,2017-09-30
1,8X8 INC NEW,COM,282914100,13203000,978000,SH, ,DFND,2017-09-30
2,AAR CORP,COM,000361105,1288000,34100,SH, ,DFND,2017-09-30
3,ABB LTD,SPONSORED ADR,000375204,12583000,508400,SH, ,DFND,2017-09-30
4,ABBOTT LABS,COM,002824100,47713000,894179,SH, ,DFND,2017-09-30
5,ABEONA THERAPEUTICS INC,COM,00289Y107,3527000,206857,SH, ,DFND,2017-09-30
6,ACACIA COMMUNICATIONS INC,COM,00401C108,3358000,71300,SH, ,DFND,2017-09-30
7,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,9159000,191761,SH, ,DFND,2017-09-30
8,ACADIA PHARMACEUTICALS INC,COM,004225108,27318000,725200,SH, ,DFND,2017-09-30
9,ACADIA PHARMACEUTICALS INC,COM,004225108,18835000,500000,SH,Put,DFND,2017-09-30
10,ACCELERON PHARMA INC,COM,00434H108,2721000,72900,SH, ,DFND,2017-09-30
11,ACHAOGEN INC,COM,004449104,35982000,2255899,SH, ,DFND,2017-09-30
12,ACLARIS THERAPEUTICS INC,COM,00461U105,23030000,892298,SH, ,DFND,2017-09-30
13,ACTIVISION BLIZZARD INC,COM,00507V109,37867000,587000,SH, ,DFND,2017-09-30
14,ACUITY BRANDS INC,COM,00508Y102,11613000,67800,SH, ,DFND,2017-09-30
15,ADAMAS PHARMACEUTICALS INC,COM,00548A106,17998000,850165,SH, ,DFND,2017-09-30
16,ADIENT PLC,ORD SHS,G0084W101,7946000,94603,SH, ,DFND,2017-09-30
17,ADURO BIOTECH INC,COM,00739L101,1023000,96100,SH, ,DFND,2017-09-30
18,ADVANCE AUTO PARTS INC,COM,00751Y106,7222000,72800,SH, ,DFND,2017-09-30
19,AERCAP HOLDINGS NV,SHS,N00985106,12377000,242166,SH, ,DFND,2017-09-30
20,AERIE PHARMACEUTICALS INC,COM,00771V108,2522000,51900,SH, ,DFND,2017-09-30
21,AETNA INC NEW,COM,00817Y108,68271000,429353,SH, ,DFND,2017-09-30
22,AFFIMED N V,COM,N01045108,658000,292631,SH, ,DFND,2017-09-30
23,AGCO CORP,COM,001084102,356000,4825,SH, ,DFND,2017-09-30
24,AGIOS PHARMACEUTICALS INC,COM,00847X104,8653000,129640,SH, ,DFND,2017-09-30
25,AIMMUNE THERAPEUTICS INC,COM,00900T107,27222000,1098087,SH, ,DFND,2017-09-30
26,AIR PRODS & CHEMS INC,COM,009158106,81370000,538088,SH, ,DFND,2017-09-30
27,ALASKA AIR GROUP INC,COM,011659109,41775000,547726,SH, ,DFND,2017-09-30
28,ALASKA AIR GROUP INC,COM,011659109,30508000,400000,SH,Call,DFND,2017-09-30
29,ALBIREO PHARMA INC,COM,01345P106,3910000,186640,SH, ,DFND,2017-09-30
30,ALCOA CORP,COM,013872106,99757000,2139789,SH, ,DFND,2017-09-30
31,ALDER BIOPHARMACEUTICALS INC,COM,014339105,1362000,111146,SH, ,DFND,2017-09-30
32,ALEXION PHARMACEUTICALS INC,COM,015351109,8403000,59900,SH, ,DFND,2017-09-30
33,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,180055000,1042528,SH, ,DFND,2017-09-30
34,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,34542000,200000,SH,Call,DFND,2017-09-30
35,ALLEGHENY TECHNOLOGIES INC,COM,01741R102,4541000,190000,SH, ,DFND,2017-09-30
36,ALLEGIANT TRAVEL CO,COM,01748X102,408000,3100,SH, ,DFND,2017-09-30
37,ALLERGAN PLC,SHS,G0177J108,92182000,449776,SH, ,DFND,2017-09-30
38,ALLIANCE DATA SYSTEMS CORP,COM,018581108,19623000,88572,SH, ,DFND,2017-09-30
39,ALLSTATE CORP,COM,020002101,36435000,396420,SH, ,DFND,2017-09-30
40,ALMOST FAMILY INC,COM,020409108,7570000,140970,SH, ,DFND,2017-09-30
41,ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,9987000,85000,SH, ,DFND,2017-09-30
