,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,10X GENOMICS INC,CL A COM,88025U109,15894000,255045,SH, ,DFND,2020-03-31
1,3M CO,COM,88579Y101,19134000,140168,SH, ,DFND,2020-03-31
2,AAON INC,COM PAR $0.004,000360206,116000,2400,SH, ,DFND,2020-03-31
3,ABBVIE INC,COM,00287Y109,105973000,1390906,SH, ,DFND,2020-03-31
4,ABEONA THERAPEUTICS INC,COM,00289Y107,3518000,1675000,SH, ,DFND,2020-03-31
5,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,13146000,80519,SH, ,DFND,2020-03-31
6,ACM RESEARCH INC,COM CL A,00108J109,715000,24132,SH, ,DFND,2020-03-31
7,ACORDA THERAPEUTICS INC,COM,00484M106,1482000,1589600,SH, ,DFND,2020-03-31
8,ACTIVISION BLIZZARD INC,COM,00507V109,23871000,401326,SH, ,DFND,2020-03-31
9,ACUITY BRANDS INC,COM,00508Y102,243000,2834,SH, ,DFND,2020-03-31
10,ADIENT PLC,ORD SHS,G0084W101,2931000,323200,SH, ,DFND,2020-03-31
11,ADMA BIOLOGICS INC,COM,000899104,720000,250000,SH, ,DFND,2020-03-31
12,ADVANCE AUTO PARTS INC,COM,00751Y106,33715000,361279,SH, ,DFND,2020-03-31
13,ADVANCED DRAIN SYS INC DEL,COM,00790R104,977000,33200,SH, ,DFND,2020-03-31
14,ADVANCED MICRO DEVICES INC,COM,007903107,53835000,1183718,SH, ,DFND,2020-03-31
15,AERIE PHARMACEUTICALS INC,COM,00771V108,5462000,404590,SH, ,DFND,2020-03-31
16,AEROJET ROCKETDYNE HLDGS INC,COM,007800105,1815000,43395,SH, ,DFND,2020-03-31
17,AFFIMED N V,COM,N01045108,2686000,1700000,SH, ,DFND,2020-03-31
18,AGIOS PHARMACEUTICALS INC,COM,00847X104,4634000,130614,SH, ,DFND,2020-03-31
19,AGNC INVT CORP,COM,00123Q104,38412000,3630628,SH, ,DFND,2020-03-31
20,AGREE REALTY CORP,COM,008492100,619000,10000,SH, ,DFND,2020-03-31
21,AIMMUNE THERAPEUTICS INC,COM,00900T107,22276000,1544812,SH, ,DFND,2020-03-31
22,AIR PRODS & CHEMS INC,COM,009158106,30369000,152140,SH, ,DFND,2020-03-31
23,AKCEA THERAPEUTICS INC,COM,00972L107,817000,57166,SH, ,DFND,2020-03-31
24,AKEBIA THERAPEUTICS INC,COM,00972D105,14965000,1974320,SH, ,DFND,2020-03-31
25,AKERO THERAPEUTICS INC,COM,00973Y108,15375000,725245,SH, ,DFND,2020-03-31
26,ALASKA AIR GROUP INC,COM,011659109,18719000,657491,SH, ,DFND,2020-03-31
27,ALBIREO PHARMA INC,COM,01345P106,8431000,515000,SH, ,DFND,2020-03-31
28,ALCOA CORP,COM,013872106,540000,87693,SH, ,DFND,2020-03-31
29,ALCOA CORP,COM,013872106,2772000,450000,SH,Call,DFND,2020-03-31
30,ALEXANDERS INC,COM,014752109,446000,1617,SH, ,DFND,2020-03-31
31,ALEXION PHARMACEUTICALS INC,COM,015351109,57676000,642345,SH, ,DFND,2020-03-31
32,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,141137000,725716,SH, ,DFND,2020-03-31
33,ALKERMES PLC,SHS,G01767105,14193000,984264,SH, ,DFND,2020-03-31
34,ALLAKOS INC,COM,01671P100,68000,1527,SH, ,DFND,2020-03-31
35,ALLEGHANY CORP DEL,COM,017175100,17620000,31900,SH, ,DFND,2020-03-31
36,ALLEGIANT TRAVEL CO,COM,01748X102,747000,9127,SH, ,DFND,2020-03-31
