,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,SHARE TYPE,PUT_CALL,INVESTMENT_DISCRETION,DATE_STRING
0,3-D SYS CORP DEL,COM NEW,88554D205,115000,13095,SH, ,DFND,2019-12-31
1,8X8 INC NEW,COM,282914100,24231000,1324083,SH, ,DFND,2019-12-31
2,AAON INC,COM PAR $0.004,000360206,20000,400,SH, ,DFND,2019-12-31
3,AAR CORP,COM,000361105,216000,4800,SH, ,DFND,2019-12-31
4,AARONS INC,COM PAR $0.50,002535300,26196000,458685,SH, ,DFND,2019-12-31
5,AARONS INC,COM PAR $0.50,002535300,2456000,43000,SH,Call,DFND,2019-12-31
6,ABEONA THERAPEUTICS INC,COM,00289Y107,5559000,1700000,SH, ,DFND,2019-12-31
7,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,31287000,941816,SH, ,DFND,2019-12-31
8,ACADIA PHARMACEUTICALS INC,COM,004225108,28706000,671009,SH, ,DFND,2019-12-31
9,ACCELERON PHARMA INC,COM,00434H108,14466000,272841,SH, ,DFND,2019-12-31
10,ACORDA THERAPEUTICS INC,COM,00484M106,9568000,4690000,SH, ,DFND,2019-12-31
11,ADDUS HOMECARE CORP,COM,006739106,6805000,69994,SH, ,DFND,2019-12-31
12,ADIENT PLC,ORD SHS,G0084W101,5318000,250270,SH, ,DFND,2019-12-31
13,ADOBE INC,COM,00724F101,22039000,66824,SH, ,DFND,2019-12-31
14,ADVANCE AUTO PARTS INC,COM,00751Y106,39135000,244348,SH, ,DFND,2019-12-31
15,ADVANCED DRAIN SYS INC DEL,COM,00790R104,124000,3188,SH, ,DFND,2019-12-31
16,ADVANCED MICRO DEVICES INC,COM,007903107,79036000,1723417,SH, ,DFND,2019-12-31
17,AEROJET ROCKETDYNE HLDGS INC,COM,007800105,1201000,26300,SH, ,DFND,2019-12-31
18,AFFIMED N V,COM,N01045108,4658000,1700000,SH, ,DFND,2019-12-31
19,AGCO CORP,COM,001084102,17449000,225879,SH, ,DFND,2019-12-31
20,AIR PRODS & CHEMS INC,COM,009158106,141000,600,SH, ,DFND,2019-12-31
21,AKCEA THERAPEUTICS INC,COM,00972L107,4289000,253200,SH, ,DFND,2019-12-31
22,AKEBIA THERAPEUTICS INC,COM,00972D105,14903000,2358100,SH, ,DFND,2019-12-31
23,AKERO THERAPEUTICS INC,COM,00973Y108,5023000,226300,SH, ,DFND,2019-12-31
24,ALASKA AIR GROUP INC,COM,011659109,41452000,611842,SH, ,DFND,2019-12-31
25,ALBIREO PHARMA INC,COM,01345P106,5390000,212030,SH, ,DFND,2019-12-31
26,ALCOA CORP,COM,013872106,7510000,349120,SH, ,DFND,2019-12-31
27,ALEXANDER & BALDWIN INC NEW,COM,014491104,1079000,51500,SH, ,DFND,2019-12-31
28,ALEXANDERS INC,COM,014752109,859000,2600,SH, ,DFND,2019-12-31
29,ALEXION PHARMACEUTICALS INC,COM,015351109,36610000,338513,SH, ,DFND,2019-12-31
30,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,258295000,1217800,SH, ,DFND,2019-12-31
31,ALKERMES PLC,SHS,G01767105,696000,34100,SH, ,DFND,2019-12-31
32,ALLEGHANY CORP DEL,COM,017175100,12882000,16111,SH, ,DFND,2019-12-31
33,ALLEGIANT TRAVEL CO,COM,01748X102,7405000,42546,SH, ,DFND,2019-12-31
34,ALLIANCE DATA SYSTEMS CORP,COM,018581108,171781000,1531025,SH, ,DFND,2019-12-31
35,ALLIANCE DATA SYSTEMS CORP,COM,018581108,33660000,300000,SH,Call,DFND,2019-12-31
36,ALLISON TRANSMISSION HLDGS I,COM,01973R101,12279000,254116,SH, ,DFND,2019-12-31
